"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
5.3785,1.52,1.519503986,0.00181
5.4009,1.52017,1.519276465,0.0018
5.4235,1.51986,1.519043978,0.00201
5.4463,1.51964,1.518981285,0.00232
5.4693,1.51964,1.518960242,0.00224
5.4925,1.51957,1.51878203,0.00211
5.5159,1.51931,1.518551638,0.00218
5.5394,1.51865,1.518345184,0.00218
5.5632,1.51785,1.518006139,0.00205
5.5872,1.5172,1.51756495,0.00214
5.6114,1.51683,1.517035384,0.00222
5.6358,1.51666,1.516458746,0.00264
5.6604,1.51618,1.516000298,0.00325
5.6852,1.51511,1.51537042,0.00348
5.7103,1.51353,1.514383663,0.00446
5.7355,1.51283,1.513962061,0.00722
5.761,1.51485,1.515309407,0.011
5.7867,1.51937,1.518505287,0.013
5.8127,1.52339,1.521931412,0.0118
5.8389,1.52527,1.523839992,0.0082
5.8653,1.52478,1.523858269,0.00513
5.8919,1.52291,1.522887796,0.00332
5.9188,1.5219,1.521834671,0.00286
5.946,1.52134,1.521035894,0.00257
5.9734,1.52065,1.520386631,0.00252
6.0011,1.52035,1.519934962,0.00264
6.029,1.52012,1.519633705,0.0026
6.0571,1.51991,1.519414891,0.00257
6.0856,1.51925,1.519151367,0.00221
6.1143,1.51852,1.518559593,0.00164
6.1433,1.51801,1.517903258,0.00195
6.1725,1.51792,1.517508778,0.00214
6.202,1.51755,1.517029146,0.00204
6.2319,1.51705,1.516647683,0.00264
6.262,1.51657,1.516584878,0.00287
6.2924,1.51611,1.516410353,0.00263
6.3231,1.51595,1.516138067,0.00271
6.3541,1.51635,1.515884099,0.00258
6.3854,1.51628,1.515479652,0.00233
6.417,1.51546,1.514934855,0.00224
6.4489,1.51505,1.514366644,0.00231
6.4811,1.51471,1.513860326,0.00249
6.5137,1.51367,1.51350509,0.00271
6.5466,1.51289,1.513105004,0.00235
6.5798,1.51202,1.512268984,0.00176
6.6134,1.51064,1.511046473,0.00162
6.6473,1.50856,1.509680577,0.00187
6.6816,1.5068,1.508470657,0.00276
6.7162,1.50649,1.507497225,0.00338
6.7512,1.50551,1.506034575,0.00325
6.7865,1.50318,1.504082694,0.00435
6.8223,1.50149,1.502309802,0.00628
6.8583,1.49962,1.500215319,0.00756
6.8948,1.49417,1.496892891,0.0104
6.9317,1.49086,1.495451572,0.0205
6.969,1.49932,1.501709391,0.0348
7.0066,1.51617,1.514259728,0.0376
7.0447,1.52722,1.52321488,0.0259
7.0832,1.52698,1.523602249,0.0129
7.1221,1.5204,1.518841038,0.00699
7.1615,1.51417,1.513624867,0.00659
7.2013,1.51013,1.510087092,0.00898
7.2415,1.50858,1.508287834,0.0113
7.2822,1.50743,1.50696779,0.0124
7.3233,1.50512,1.505323028,0.0136
7.3649,1.50345,1.503638116,0.016
7.407,1.50151,1.502036762,0.0188
7.4496,1.4989,1.501603571,0.0248
7.4926,1.50218,1.505047963,0.0325
7.5362,1.51083,1.511095735,0.034
7.5803,1.51611,1.515136021,0.0292
7.6249,1.51597,1.515285102,0.0246
7.67,1.51363,1.513528641,0.0233
7.7156,1.51151,1.511470662,0.0234
7.7618,1.50856,1.508900459,0.0242
7.8086,1.50321,1.505622058,0.0269
7.8559,1.49895,1.503165971,0.0343
7.9038,1.50077,1.505407109,0.0474
7.9523,1.51268,1.514853527,0.0588
8.0014,1.52877,1.527597485,0.0597
8.0511,1.54059,1.538367796,0.0538
8.1014,1.54825,1.545853732,0.0451
8.1524,1.55173,1.548558483,0.0326
8.204,1.5467,1.545695815,0.0224
8.2562,1.53853,1.540896953,0.0201
8.3091,1.53619,1.538712222,0.0226
8.3628,1.53908,1.53990916,0.0238
8.4171,1.54086,1.541425719,0.0198
8.4721,1.53965,1.540318407,0.0145
8.5278,1.53776,1.537656862,0.0124
8.5843,1.53557,1.535411757,0.012
8.6415,1.53256,1.533632962,0.0112
8.6995,1.52975,1.531455712,0.0101
8.7583,1.52688,1.528641344,0.00983
8.8179,1.52414,1.525939935,0.0116
8.8783,1.52265,1.524530673,0.0149
8.9395,1.52211,1.524207225,0.0172
9.0016,1.52218,1.524603402,0.0201
9.0645,1.52387,1.526505912,0.0231
9.1284,1.52793,1.529227116,0.0235
9.1931,1.53066,1.531133147,0.0217
9.2588,1.53138,1.532190245,0.0209
9.3254,1.53201,1.533406671,0.0199
9.393,1.53196,1.53387507,0.017
9.4615,1.53125,1.533211997,0.0149
9.5311,1.52972,1.531741188,0.013
9.6017,1.52766,1.529719232,0.0123
9.6733,1.52643,1.52784254,0.0129
9.7461,1.52428,1.526579935,0.0141
9.8199,1.52163,1.52574768,0.0147
9.8949,1.51946,1.524279726,0.0144
9.971,1.51865,1.522017542,0.0155
10.048,1.5173,1.520098894,0.0187
10.127,1.51505,1.518750284,0.0228
10.207,1.51457,1.519469048,0.0298
10.288,1.51955,1.523872091,0.0372
10.37,1.52929,1.531448426,0.0407
10.453,1.53864,1.539044171,0.0376
10.538,1.54351,1.543345407,0.031
10.625,1.54387,1.544303596,0.0249
10.713,1.54319,1.543645603,0.0214
10.802,1.544,1.543102217,0.0203
10.893,1.5438,1.543246001,0.0192
10.985,1.54212,1.54340201,0.0165
11.079,1.53927,1.542251746,0.0137
11.174,1.53785,1.540769467,0.0128
