Microplastic fragments: 100 MP m-3
Mean net RF (W m-2):,-1.5923e-02
Mean Delta TOA up flux SW (W m-2):,2.0029e-01
Mean Delta TOA up flux LW (W m-2):,-1.8437e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,98072,-5.0986e-04,1.2795e+00,-8.3084e-02,4.7684e-05,2.9590e-01,-1.8005e-03
case1,98702,0.0000e+00,1.2885e+00,-8.7006e-02,0.0000e+00,2.9767e-01,0.0000e+00
case2,7,1.1349e-04,0.0000e+00,4.0208e-01,-3.4332e-05,0.0000e+00,-2.0709e-01
case2,13,1.3542e-04,1.6456e-06,4.0208e-01,-4.4823e-05,0.0000e+00,-2.0709e-01
case2,22,1.6212e-04,4.1137e-06,4.0208e-01,-5.8174e-05,0.0000e+00,-2.0712e-01
case2,29,1.8597e-04,6.0350e-06,4.0209e-01,-7.2479e-05,0.0000e+00,-2.0712e-01
case2,37,2.1839e-04,8.2273e-06,4.0209e-01,-9.1553e-05,0.0000e+00,-2.0709e-01
case2,48,2.5845e-04,1.1247e-05,4.0210e-01,-1.1539e-04,0.0000e+00,-2.0709e-01
case2,62,3.0708e-04,1.5084e-05,4.0211e-01,-1.3924e-04,0.0000e+00,-2.0709e-01
case2,80,3.6430e-04,2.0027e-05,4.0212e-01,-1.6117e-04,0.0000e+00,-2.0712e-01
case2,102,4.3488e-04,2.6055e-05,4.0213e-01,-1.7548e-04,0.0000e+00,-2.0712e-01
case2,131,5.2929e-04,3.4012e-05,4.0215e-01,-1.9169e-04,0.0000e+00,-2.0712e-01
case2,169,6.5327e-04,4.4435e-05,4.0219e-01,-2.1982e-04,0.0000e+00,-2.0715e-01
case2,220,8.1635e-04,5.8427e-05,4.0224e-01,-2.6941e-04,0.0000e+00,-2.0712e-01
case2,287,1.0204e-03,7.6786e-05,4.0232e-01,-3.4904e-04,0.0000e+00,-2.0715e-01
case2,386,1.2164e-03,1.0392e-04,4.0247e-01,-4.4966e-04,0.0000e+00,-2.0721e-01
case2,505,1.3542e-03,1.3655e-04,4.0268e-01,-5.5480e-04,0.0000e+00,-2.0728e-01
case2,653,1.4386e-03,1.7712e-04,4.0295e-01,-6.7377e-04,0.0000e+00,-2.0737e-01
case2,866,1.4744e-03,2.3544e-04,4.0338e-01,-8.2684e-04,0.0000e+00,-2.0752e-01
case2,1197,1.4608e-03,3.2616e-04,4.0405e-01,-9.8145e-04,0.0000e+00,-2.0786e-01
case2,1502,1.3740e-03,4.0972e-04,4.0466e-01,-1.1148e-03,0.0000e+00,-2.0822e-01
case2,1928,1.2226e-03,5.2655e-04,4.0547e-01,-1.2290e-03,0.0000e+00,-2.0877e-01
case2,2432,9.8562e-04,6.6483e-04,4.0633e-01,-1.2306e-03,0.0000e+00,-2.0950e-01
case2,3067,7.0810e-04,8.3947e-04,4.0726e-01,-1.1475e-03,0.0000e+00,-2.1042e-01
case2,3875,4.7183e-04,1.0624e-03,4.0816e-01,-1.0284e-03,0.0000e+00,-2.1152e-01
case2,4923,2.5272e-04,1.3528e-03,4.0903e-01,-7.5728e-04,0.0000e+00,-2.1283e-01
case2,6262,1.3161e-04,1.7252e-03,4.0981e-01,-5.1400e-04,0.0000e+00,-2.1402e-01
case2,7986,7.0244e-05,2.2054e-03,4.1056e-01,-3.2933e-04,0.0000e+00,-2.1506e-01
case2,10268,4.5240e-05,2.8429e-03,4.1138e-01,-2.3557e-04,0.0000e+00,-2.1597e-01
case2,13243,4.0174e-05,3.6745e-03,4.1238e-01,-2.1978e-04,0.0000e+00,-2.1680e-01
case2,15610,4.2200e-05,4.3364e-03,4.1315e-01,-2.3556e-04,0.0000e+00,-2.1741e-01
case2,18340,4.9889e-05,5.1003e-03,4.1405e-01,-2.7043e-04,0.0000e+00,-2.1817e-01
case2,21443,6.8486e-05,5.9690e-03,4.1510e-01,-3.3820e-04,0.0000e+00,-2.1918e-01
case2,24934,8.9943e-05,6.9456e-03,4.1637e-01,-4.5204e-04,0.0000e+00,-2.2055e-01
case2,28855,7.8946e-04,8.0433e-03,4.1788e-01,-3.4547e-04,0.0000e+00,-2.2269e-01
case2,30982,7.3880e-04,4.6150e-02,4.0031e-01,-6.0487e-04,1.6571e-02,-2.0697e-01
case2,33234,6.3765e-04,8.6039e-02,3.8180e-01,-5.4288e-04,3.3791e-02,-1.9135e-01
case2,35600,4.7410e-04,1.2712e-01,3.6257e-01,1.0014e-05,5.0644e-02,-1.7603e-01
case2,38110,4.7266e-04,1.6923e-01,3.4269e-01,-5.0068e-04,6.5430e-02,-1.6122e-01
case2,40759,3.8803e-04,2.1320e-01,3.2172e-01,-6.2513e-04,8.1833e-02,-1.4639e-01
case2,43547,3.6275e-04,2.5852e-01,2.9984e-01,-8.7357e-04,9.8404e-02,-1.3190e-01
case2,46490,2.4581e-04,3.0566e-01,2.7681e-01,-7.4911e-04,1.1630e-01,-1.1703e-01
case2,49605,-2.6000e-04,3.5429e-01,2.5261e-01,1.1525e-03,1.3396e-01,-1.0214e-01
case2,52877,-3.7408e-04,4.0148e-01,2.2794e-01,1.4229e-03,1.4287e-01,-8.8776e-02
case2,56319,-6.1131e-04,4.4941e-01,2.0245e-01,1.8158e-03,1.4954e-01,-7.6294e-02
case2,59927,-6.2084e-04,4.9726e-01,1.7628e-01,8.1706e-04,1.5288e-01,-6.5186e-02
case2,63720,-5.6469e-04,5.4639e-01,1.4901e-01,-1.5414e-04,1.5990e-01,-5.4474e-02
case2,67688,-9.5272e-04,5.9706e-01,1.2056e-01,7.5030e-04,1.7111e-01,-4.3976e-02
case2,71842,-1.0200e-03,6.4582e-01,9.1263e-02,1.2202e-03,1.7609e-01,-3.5309e-02
case2,76189,-1.2199e-03,6.9464e-01,6.0951e-02,2.7997e-03,1.7780e-01,-2.7313e-02
case2,80743,-1.1485e-03,7.4264e-01,2.9541e-02,2.8105e-03,1.6956e-01,-2.0447e-02
case2,85510,-1.1942e-03,7.9243e-01,-3.2578e-03,2.9285e-03,1.6040e-01,-1.3702e-02
case2,90480,-1.2277e-03,8.4337e-01,-3.7514e-02,2.7037e-03,1.4954e-01,-7.2937e-03
case2,93040,-1.2512e-03,8.6932e-01,-5.5229e-02,2.3844e-03,1.4429e-01,-4.3335e-03
case2,95664,-1.2715e-03,8.9573e-01,-7.3441e-02,2.0962e-03,1.3959e-01,-1.6174e-03
case2,97003,-1.2666e-03,9.0914e-01,-8.2764e-02,1.9556e-03,1.3742e-01,-4.8828e-04
case2,97577,0.0000e+00,9.1488e-01,-8.6769e-02,0.0000e+00,1.3654e-01,0.0000e+00
case3,7,9.2506e-05,0.0000e+00,2.9063e-01,-4.2915e-05,0.0000e+00,-2.4850e-01
case3,13,1.1063e-04,1.5222e-06,2.9065e-01,-5.7697e-05,0.0000e+00,-2.4850e-01
case3,22,1.3065e-04,3.8063e-06,2.9065e-01,-7.4863e-05,0.0000e+00,-2.4850e-01
case3,29,1.5163e-04,5.5805e-06,2.9065e-01,-9.4414e-05,0.0000e+00,-2.4854e-01
case3,37,1.7834e-04,7.6108e-06,2.9065e-01,-1.2112e-04,0.0000e+00,-2.4854e-01
case3,48,2.1362e-04,1.0405e-05,2.9065e-01,-1.5068e-04,0.0000e+00,-2.4854e-01
case3,62,2.5177e-04,1.3955e-05,2.9066e-01,-1.8120e-04,0.0000e+00,-2.4854e-01
case3,80,2.9945e-04,1.8522e-05,2.9066e-01,-2.0695e-04,0.0000e+00,-2.4850e-01
case3,102,3.6049e-04,2.4103e-05,2.9070e-01,-2.1935e-04,0.0000e+00,-2.4857e-01
case3,131,4.3297e-04,3.1456e-05,2.9070e-01,-2.2984e-04,0.0000e+00,-2.4857e-01
case3,169,5.3024e-04,4.1112e-05,2.9074e-01,-2.5320e-04,0.0000e+00,-2.4857e-01
case3,220,6.5994e-04,5.4032e-05,2.9079e-01,-2.9898e-04,0.0000e+00,-2.4857e-01
case3,287,8.2874e-04,7.1034e-05,2.9086e-01,-3.7861e-04,0.0000e+00,-2.4860e-01
case3,386,9.9850e-04,9.6142e-05,2.9099e-01,-4.8184e-04,0.0000e+00,-2.4863e-01
case3,505,1.1206e-03,1.2630e-04,2.9115e-01,-5.8961e-04,0.0000e+00,-2.4872e-01
case3,653,1.1835e-03,1.6385e-04,2.9138e-01,-7.0429e-04,0.0000e+00,-2.4881e-01
case3,866,1.1845e-03,2.1785e-04,2.9173e-01,-8.3447e-04,0.0000e+00,-2.4899e-01
case3,1197,1.1425e-03,3.0166e-04,2.9228e-01,-9.5284e-04,0.0000e+00,-2.4930e-01
case3,1502,1.0619e-03,3.7909e-04,2.9277e-01,-1.0363e-03,0.0000e+00,-2.4966e-01
case3,1880,9.2340e-04,4.7505e-04,2.9335e-01,-1.0711e-03,0.0000e+00,-2.5012e-01
case3,2361,7.6723e-04,5.9724e-04,2.9399e-01,-1.0796e-03,0.0000e+00,-2.5073e-01
case3,2972,6.0892e-04,7.5293e-04,2.9471e-01,-1.0650e-03,0.0000e+00,-2.5153e-01
case3,3745,4.3583e-04,9.5081e-04,2.9546e-01,-9.7650e-04,0.0000e+00,-2.5250e-01
case3,4729,2.7561e-04,1.2031e-03,2.9622e-01,-7.9775e-04,0.0000e+00,-2.5363e-01
case3,6023,1.5211e-04,1.5368e-03,2.9698e-01,-5.7494e-04,0.0000e+00,-2.5488e-01
case3,7660,9.0539e-05,1.9603e-03,2.9770e-01,-4.3078e-04,0.0000e+00,-2.5598e-01
case3,9807,6.9827e-05,2.5182e-03,2.9848e-01,-3.9629e-04,0.0000e+00,-2.5708e-01
case3,12555,6.7294e-05,3.2330e-03,2.9942e-01,-4.2853e-04,0.0000e+00,-2.5836e-01
case3,14722,6.4045e-05,3.7975e-03,3.0016e-01,-4.4504e-04,0.0000e+00,-2.5946e-01
case3,17312,5.5969e-05,4.4727e-03,3.0104e-01,-4.1288e-04,0.0000e+00,-2.6083e-01
case3,20268,5.5850e-05,5.2443e-03,3.0202e-01,-4.0042e-04,0.0000e+00,-2.6227e-01
case3,23724,7.5638e-05,6.1474e-03,3.0315e-01,-4.9007e-04,0.0000e+00,-2.6395e-01
case3,27641,8.9669e-04,7.1735e-03,3.0450e-01,7.3504e-04,0.0000e+00,-2.6620e-01
case3,29788,8.8561e-04,5.5580e-02,2.9355e-01,5.2488e-04,1.4778e-02,-2.4954e-01
case3,32017,8.7309e-04,1.0541e-01,2.8215e-01,2.5237e-04,2.9827e-02,-2.3309e-01
case3,34396,8.5711e-04,1.5815e-01,2.6994e-01,3.0994e-06,4.5738e-02,-2.1649e-01
case3,36911,8.2803e-04,2.1331e-01,2.5699e-01,-1.1086e-04,6.2263e-02,-1.9995e-01
case3,39552,7.8070e-04,2.7044e-01,2.4338e-01,-9.5367e-05,7.8857e-02,-1.8372e-01
case3,42354,7.3993e-04,3.3003e-01,2.2897e-01,-1.0300e-04,9.5154e-02,-1.6776e-01
case3,45281,7.3135e-04,3.9111e-01,2.1396e-01,-2.2459e-04,1.1091e-01,-1.5231e-01
case3,48402,7.1943e-04,4.5504e-01,1.9795e-01,-2.7919e-04,1.2687e-01,-1.3721e-01
case3,51659,6.6209e-04,5.2044e-01,1.8127e-01,-2.2221e-04,1.4244e-01,-1.2271e-01
case3,55123,5.7173e-04,5.8848e-01,1.6353e-01,-1.6141e-04,1.5741e-01,-1.0864e-01
case3,58746,5.0139e-04,6.5817e-01,1.4496e-01,-1.2100e-04,1.7149e-01,-9.5276e-02
case3,62555,4.8399e-04,7.3010e-01,1.2541e-01,-3.0839e-04,1.8478e-01,-8.2520e-02
case3,66554,4.9508e-04,8.0464e-01,1.0477e-01,-8.1694e-04,1.9847e-01,-7.0312e-02
case3,70786,4.7076e-04,8.8308e-01,8.2657e-02,-8.5759e-04,2.1465e-01,-5.8228e-02
case3,75270,2.8229e-04,9.6438e-01,5.9082e-02,9.7203e-04,2.3129e-01,-4.6143e-02
case3,79992,-2.9325e-05,1.0410e+00,3.4393e-02,2.5489e-03,2.3726e-01,-3.4698e-02
case3,84997,-2.0027e-04,1.1126e+00,8.0566e-03,2.1186e-03,2.3236e-01,-2.4475e-02
case3,90242,-3.8338e-04,1.1871e+00,-2.0142e-02,2.3339e-03,2.2952e-01,-1.4130e-02
case3,92953,-5.2977e-04,1.2251e+00,-3.5141e-02,2.4097e-03,2.2714e-01,-9.0332e-03
case3,95725,-6.5136e-04,1.2640e+00,-5.0873e-02,2.4280e-03,2.2427e-01,-3.9368e-03
case3,97144,-8.6284e-04,1.2839e+00,-5.9143e-02,3.5915e-03,2.2287e-01,-1.2817e-03
case3,97778,0.0000e+00,1.2925e+00,-6.2943e-02,0.0000e+00,2.2147e-01,0.0000e+00
case4,10,2.8610e-06,0.0000e+00,1.1551e-01,-3.5286e-05,0.0000e+00,-1.4967e-01
case4,13,3.8147e-06,4.5402e-08,1.1551e-01,-4.6730e-05,0.0000e+00,-1.4967e-01
case4,17,4.7684e-06,1.0524e-07,1.1551e-01,-6.5327e-05,0.0000e+00,-1.4967e-01
case4,22,5.7220e-06,1.8161e-07,1.1551e-01,-8.7738e-05,0.0000e+00,-1.4967e-01
case4,29,6.6757e-06,2.8685e-07,1.1551e-01,-1.0109e-04,0.0000e+00,-1.4967e-01
case4,37,7.6294e-06,4.0606e-07,1.1551e-01,-1.1158e-04,0.0000e+00,-1.4967e-01
case4,48,9.5367e-06,5.7369e-07,1.1551e-01,-1.2016e-04,0.0000e+00,-1.4967e-01
case4,61,1.2398e-05,7.7114e-07,1.1551e-01,-1.2779e-04,0.0000e+00,-1.4967e-01
case4,77,1.5259e-05,1.0133e-06,1.1551e-01,-1.3351e-04,0.0000e+00,-1.4969e-01
case4,99,1.8120e-05,1.3486e-06,1.1551e-01,-1.3733e-04,0.0000e+00,-1.4967e-01
case4,126,2.2888e-05,1.7583e-06,1.1551e-01,-1.4496e-04,0.0000e+00,-1.4969e-01
case4,161,2.6703e-05,2.2799e-06,1.1551e-01,-1.5450e-04,0.0000e+00,-1.4969e-01
case4,206,3.2425e-05,2.9653e-06,1.1551e-01,-1.6499e-04,0.0000e+00,-1.4970e-01
case4,264,3.7193e-05,3.8445e-06,1.1551e-01,-1.6594e-04,0.0000e+00,-1.4972e-01
case4,340,4.1008e-05,4.9770e-06,1.1551e-01,-1.6117e-04,0.0000e+00,-1.4972e-01
case4,442,4.3392e-05,6.5267e-06,1.1554e-01,-1.5736e-04,0.0000e+00,-1.4975e-01
case4,577,4.3869e-05,8.5235e-06,1.1554e-01,-1.5831e-04,0.0000e+00,-1.4978e-01
case4,760,4.3392e-05,1.1325e-05,1.1554e-01,-1.5974e-04,0.0000e+00,-1.4981e-01
case4,1009,4.1962e-05,1.5140e-05,1.1557e-01,-1.6546e-04,0.0000e+00,-1.4986e-01
case4,1340,4.2200e-05,2.0146e-05,1.1557e-01,-1.7643e-04,0.0000e+00,-1.4992e-01
case4,1663,4.3154e-05,2.5034e-05,1.1563e-01,-1.9407e-04,0.0000e+00,-1.4999e-01
case4,2069,4.3869e-05,3.0994e-05,1.1566e-01,-2.1458e-04,0.0000e+00,-1.5009e-01
case4,2581,4.4346e-05,3.8862e-05,1.1566e-01,-2.2388e-04,0.0000e+00,-1.5021e-01
case4,3036,4.5538e-05,4.5776e-05,1.1569e-01,-2.3460e-04,0.0000e+00,-1.5033e-01
case4,3761,4.1127e-05,5.6744e-05,1.1575e-01,-2.3639e-04,0.0000e+00,-1.5053e-01
case4,4752,3.7789e-05,7.1526e-05,1.1581e-01,-2.4450e-04,0.0000e+00,-1.5080e-01
case4,5999,3.4690e-05,9.0599e-05,1.1591e-01,-2.5362e-04,0.0000e+00,-1.5117e-01
case4,7583,3.4094e-05,1.1444e-04,1.1600e-01,-2.8235e-04,0.0000e+00,-1.5166e-01
