Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,98072,-8.6021e-04,1.7768e+00,-1.0838e-01,3.3188e-04,3.7167e-01,-2.4109e-03
case1,98702,0.0000e+00,1.7893e+00,-1.1377e-01,0.0000e+00,3.7381e-01,0.0000e+00
case2,7,1.5545e-04,0.0000e+00,5.5620e-01,-4.3869e-05,0.0000e+00,-2.6932e-01
case2,13,1.8597e-04,2.2682e-06,5.5621e-01,-5.8174e-05,0.0000e+00,-2.6932e-01
case2,22,2.2221e-04,5.6699e-06,5.5621e-01,-7.5340e-05,0.0000e+00,-2.6932e-01
case2,29,2.5558e-04,8.3167e-06,5.5621e-01,-9.4414e-05,0.0000e+00,-2.6932e-01
case2,37,3.0041e-04,1.1340e-05,5.5622e-01,-1.1921e-04,0.0000e+00,-2.6932e-01
case2,48,3.5572e-04,1.5501e-05,5.5623e-01,-1.4973e-04,0.0000e+00,-2.6932e-01
case2,62,4.2152e-04,2.0791e-05,5.5624e-01,-1.8024e-04,0.0000e+00,-2.6932e-01
case2,80,5.0163e-04,2.7597e-05,5.5626e-01,-2.0981e-04,0.0000e+00,-2.6935e-01
case2,102,5.9891e-04,3.5912e-05,5.5627e-01,-2.2793e-04,0.0000e+00,-2.6932e-01
case2,131,7.2765e-04,4.6879e-05,5.5630e-01,-2.4796e-04,0.0000e+00,-2.6935e-01
case2,169,8.9836e-04,6.1244e-05,5.5636e-01,-2.8467e-04,0.0000e+00,-2.6935e-01
case2,220,1.1225e-03,8.0526e-05,5.5643e-01,-3.4857e-04,0.0000e+00,-2.6935e-01
case2,287,1.4038e-03,1.0583e-04,5.5654e-01,-4.5109e-04,0.0000e+00,-2.6938e-01
case2,386,1.6732e-03,1.4323e-04,5.5675e-01,-5.8150e-04,0.0000e+00,-2.6944e-01
case2,505,1.8630e-03,1.8820e-04,5.5703e-01,-7.1716e-04,0.0000e+00,-2.6953e-01
case2,653,1.9789e-03,2.4411e-04,5.5741e-01,-8.7094e-04,0.0000e+00,-2.6965e-01
case2,866,2.0280e-03,3.2449e-04,5.5799e-01,-1.0686e-03,0.0000e+00,-2.6987e-01
case2,1197,2.0094e-03,4.4954e-04,5.5891e-01,-1.2681e-03,0.0000e+00,-2.7029e-01
