Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case1,98072,4.1533e-04,3.2250e-01,-1.4999e-02,-2.6150e-03,8.3069e-02,-2.4109e-03
case1,98702,0.0000e+00,3.3857e-01,-2.0157e-02,0.0000e+00,8.7433e-02,0.0000e+00
case2,7,2.7657e-05,0.0000e+00,8.6502e-02,-1.9073e-06,0.0000e+00,-9.9182e-03
case2,13,3.2425e-05,4.1258e-07,8.6502e-02,-1.4305e-06,0.0000e+00,-9.9182e-03
case2,22,4.0054e-05,1.0319e-06,8.6502e-02,-1.9073e-06,0.0000e+00,-9.9487e-03
case2,29,4.5776e-05,1.5143e-06,8.6510e-02,-2.3842e-06,0.0000e+00,-9.9487e-03
case2,37,5.3406e-05,2.0638e-06,8.6510e-02,-2.8610e-06,0.0000e+00,-9.9182e-03
case2,48,6.3896e-05,2.8238e-06,8.6510e-02,-3.8147e-06,0.0000e+00,-9.9182e-03
case2,62,7.4387e-05,3.7812e-06,8.6510e-02,-3.8147e-06,0.0000e+00,-9.9182e-03
case2,80,8.9645e-05,5.0217e-06,8.6517e-02,-5.7220e-06,0.0000e+00,-9.9487e-03
case2,102,1.0681e-04,6.5342e-06,8.6517e-02,-5.7220e-06,0.0000e+00,-9.9182e-03
case2,131,1.3065e-04,8.5309e-06,8.6517e-02,-7.6294e-06,0.0000e+00,-9.9487e-03
case2,169,1.6117e-04,1.1146e-05,8.6533e-02,-9.0599e-06,0.0000e+00,-9.9487e-03
case2,220,2.0123e-04,1.4663e-05,8.6548e-02,-1.2398e-05,0.0000e+00,-9.9182e-03
case2,287,2.5177e-04,1.9267e-05,8.6563e-02,-1.7166e-05,0.0000e+00,-9.9182e-03
case2,386,2.9993e-04,2.6077e-05,8.6601e-02,-2.3127e-05,0.0000e+00,-9.9182e-03
case2,505,3.3379e-04,3.4273e-05,8.6655e-02,-2.9564e-05,0.0000e+00,-9.9487e-03
case2,653,3.5429e-04,4.4435e-05,8.6723e-02,-3.6716e-05,0.0000e+00,-9.9487e-03
case2,866,3.6287e-04,5.9068e-05,8.6823e-02,-4.6015e-05,0.0000e+00,-9.9487e-03
case2,1197,3.5954e-04,8.1837e-05,8.6990e-02,-5.5194e-05,0.0000e+00,-9.9792e-03
case2,1502,3.3784e-04,1.0288e-04,8.7143e-02,-6.3181e-05,0.0000e+00,-1.0010e-02
case2,1928,2.9993e-04,1.3208e-04,8.7341e-02,-6.9618e-05,0.0000e+00,-1.0040e-02
case2,2432,2.4152e-04,1.6677e-04,8.7555e-02,-6.9737e-05,0.0000e+00,-1.0040e-02
case2,3067,1.7309e-04,2.1052e-04,8.7776e-02,-6.4552e-05,0.0000e+00,-1.0101e-02
case2,3875,1.1480e-04,2.6655e-04,8.8005e-02,-5.6952e-05,0.0000e+00,-1.0162e-02
case2,4923,6.0737e-05,3.3927e-04,8.8219e-02,-4.0710e-05,0.0000e+00,-1.0254e-02
case2,6262,3.0577e-05,4.3297e-04,8.8409e-02,-2.6464e-05,0.0000e+00,-1.0315e-02
