           z(km)    p(mb)    T(K)
       1   0.320   981.70   278.92
       2   0.374   975.22   278.17
       3   0.500   960.24   276.87
       4   0.562   953.03   276.38
       5   0.625   945.60   276.05
       6   0.688   938.24   275.62
       7   0.750   931.13   275.33
       8   0.812   924.01   274.95
       9   0.875   916.79   274.75
      10   0.938   909.71   274.65
      11   1.000   902.70   275.57
      12   1.100   891.64   276.59
      13   1.200   880.72   276.45
      14   1.300   869.92   276.95
      15   1.400   859.40   277.00
      16   1.500   848.87   276.62
      17   1.600   838.50   276.06
      18   1.700   828.20   275.55
      19   1.800   817.97   275.05
      20   1.900   807.90   274.44
      21   2.000   797.90   273.85
      22   2.100   788.10   274.41
      23   2.500   749.83   273.22
      24   3.000   704.27   270.55
      25   3.500   661.02   268.05
      26   4.000   620.02   265.65
      27   4.500   581.30   263.75
      28   5.000   544.63   260.65
      29   5.500   509.86   256.93
      30   6.000   476.99   255.11
      31   6.500   445.89   250.85
      32   7.000   416.28   246.85
      33   7.500   388.28   243.49
      34   8.000   361.78   239.38
      35   8.500   336.65   234.89
      36   9.000   312.80   230.65
      37   9.500   290.28   226.55
      38  10.000   269.10   223.75
      39  11.000   230.61   219.40
      40  12.000   196.77   210.91
      41  13.000   167.49   214.25
      42  14.000   142.79   212.84
      43  15.000   121.61   213.35
      44  16.500    95.48   210.85
      45  18.000    74.86   209.31
      46  19.500    58.62   209.37
      47  21.000    45.91   207.95
      48  22.500    36.03   211.65
      49  24.000    29.72   220.60
      50  25.500    23.61   222.09
      51  27.000    18.80   223.52
      52  28.500    15.02   224.94
      53  30.000    11.97   226.50
      54  32.000     8.66   229.12
      55  34.000     6.53   233.74
      56  36.000     5.05   239.00
      57  38.000     3.86   244.37
      58  40.000     2.87   250.40
      59  42.000     2.20   255.94
      60  44.000     1.69   261.47
      61  46.000     1.31   267.14
      62  48.000     1.02   271.05
      63  50.000     0.80   270.70
      64  52.000     0.62   267.94
      65  54.000     0.48   263.46
      66  56.000     0.37   258.22
      67  58.000     0.29   252.73
      68  60.000     0.22   247.00
      69  64.000     0.13   236.04
      70  68.000     0.07   224.92
