Flux units are Wm-2/cm-1    
    wavn(cm-1) flxtoa_up     flxsfc_dn
     195.5     0.1123621     0.1605186
     196.5     0.1168233     0.1616645
     197.5     0.1122174     0.1628399
     198.5     0.1174392     0.1639826
     199.5     0.1164793     0.1651463
     200.5     0.1120331     0.1663177
     201.5     0.1097906     0.1674834
     202.5     0.1140992     0.1686470
     203.5     0.1090412     0.1698044
     204.5     0.1150074     0.1709586
     205.5     0.1187892     0.1721026
     206.5     0.1193464     0.1732444
     207.5     0.1146825     0.1743970
     208.5     0.1134067     0.1755452
     209.5     0.1177249     0.1766781
     210.5     0.1212860     0.1778116
     211.5     0.1261046     0.1789420
     212.5     0.1234755     0.1801011
     213.5     0.1227309     0.1812429
     214.5     0.1195392     0.1823920
     215.5     0.1277855     0.1835052
     216.5     0.1348361     0.1846230
     217.5     0.1376948     0.1857451
     218.5     0.1378933     0.1868873
     219.5     0.1361240     0.1880471
     220.5     0.1306559     0.1892193
     221.5     0.1220578     0.1903864
     222.5     0.1272214     0.1915188
     223.5     0.1261947     0.1926667
     224.5     0.1319602     0.1937979
     225.5     0.1278477     0.1949464
     226.5     0.1243069     0.1960966
     227.5     0.1257975     0.1972391
     228.5     0.1260569     0.1983774
     229.5     0.1357607     0.1994985
     230.5     0.1386127     0.2006093
     231.5     0.1405464     0.2017141
     232.5     0.1450168     0.2027995
     233.5     0.1423178     0.2039169
     234.5     0.1539856     0.2049387
     235.5     0.1554977     0.2060323
     236.5     0.1580419     0.2071027
     237.5     0.1589456     0.2082037
     238.5     0.1602192     0.2093015
     239.5     0.1608256     0.2104105
     240.5     0.1609705     0.2115287
     241.5     0.1604267     0.2126572
     242.5     0.1575100     0.2138011
     243.5     0.1536371     0.2149598
     244.5     0.1403587     0.2161180
     245.5     0.1348214     0.2172317
     246.5     0.1424712     0.2183255
     247.5     0.1390031     0.2194431
     248.5     0.1384578     0.2205454
     249.5     0.1492690     0.2216123
     250.5     0.1548020     0.2226698
     251.5     0.1520394     0.2237577
     252.5     0.1483055     0.2248542
     253.5     0.1431513     0.2259513
     254.5     0.1403254     0.2270339
     255.5     0.1516799     0.2280808
     256.5     0.1563846     0.2291130
     257.5     0.1647382     0.2301281
     258.5     0.1711750     0.2311230
     259.5     0.1748014     0.2321278
     260.5     0.1779902     0.2331394
     261.5     0.1799518     0.2341657
     262.5     0.1792438     0.2352469
     263.5     0.1722029     0.2363555
     264.5     0.1782392     0.2373976
     265.5     0.1641340     0.2385774
     266.5     0.1544001     0.2396604
     267.5     0.1740786     0.2406444
     268.5     0.1852825     0.2415363
     269.5     0.1879742     0.2425315
     270.5     0.1888755     0.2435760
     271.5     0.1835607     0.2447343
     272.5     0.1856479     0.2457444
     273.5     0.1843100     0.2467770
     274.5     0.1816935     0.2478426
     275.5     0.1636227     0.2489676
     276.5     0.1579263     0.2500092
     277.5     0.1576043     0.2510328
     278.5     0.1527321     0.2520632
     279.5     0.1627778     0.2530655
     280.5     0.1579298     0.2540634
     281.5     0.1593188     0.2550398
     282.5     0.1562792     0.2560282
     283.5     0.1731019     0.2569643
     284.5     0.1846242     0.2579007
     285.5     0.1867178     0.2588454
     286.5     0.1920671     0.2597764
     287.5     0.1893752     0.2607977
     288.5     0.1771608     0.2618645
     289.5     0.1587505     0.2628977
     290.5     0.1712184     0.2638585
     291.5     0.1927765     0.2647186
     292.5     0.2024446     0.2655548
     293.5     0.2068659     0.2664444
     294.5     0.2084282     0.2673967
     295.5     0.2009666     0.2684654
     296.5     0.2096384     0.2693368
     297.5     0.2062539     0.2704058
     298.5     0.1849608     0.2715572
