The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  701.15        633.47        174.98        137.40
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP 
     912.0  0.0011420270  0.0011414960  0.0000395323  0.0000473126
     913.0  0.0011560010  0.0011554620  0.0000402315  0.0000478915
     914.0  0.0011678860  0.0011673400  0.0000408185  0.0000483839
     915.0  0.0011761140  0.0011755630  0.0000412120  0.0000487248
     916.0  0.0011800940  0.0011795399  0.0000413745  0.0000488897
     917.0  0.0011797081  0.0011791540  0.0000413023  0.0000488736
     918.0  0.0011756000  0.0011750470  0.0000410271  0.0000487035
     919.0  0.0011688800  0.0011683300  0.0000406120  0.0000484251
     920.0  0.0011612030  0.0011606560  0.0000401479  0.0000481071
     921.0  0.0011545130  0.0011539690  0.0000397409  0.0000478298
     922.0  0.0011506480  0.0011501060  0.0000394928  0.0000476697
     923.0  0.0011510371  0.0011504930  0.0000394776  0.0000476859
     924.0  0.0011561860  0.0011556380  0.0000397232  0.0000478992
     925.0  0.0011657160  0.0011651620  0.0000402057  0.0000482941
     926.0  0.0011784181  0.0011778570  0.0000408593  0.0000488203
     927.0  0.0011926100  0.0011920400  0.0000415928  0.0000494082
     928.0  0.0012066980  0.0012061200  0.0000423191  0.0000499919
     929.0  0.0012193420  0.0012187560  0.0000429665  0.0000505156
     930.0  0.0012297960  0.0012292030  0.0000434937  0.0000509488
     931.0  0.0012378331  0.0012372350  0.0000438867  0.0000512817
     932.0  0.0012435060  0.0012429050  0.0000441475  0.0000515167
     933.0  0.0012472169  0.0012466130  0.0000442942  0.0000516704
     934.0  0.0012492290  0.0012486220  0.0000443405  0.0000517538
     935.0  0.0012499030  0.0012492950  0.0000443036  0.0000517818
     936.0  0.0012494990  0.0012488900  0.0000441982  0.0000517650
     937.0  0.0012481069  0.0012474980  0.0000440309  0.0000517073
     938.0  0.0012460530  0.0012454450  0.0000438209  0.0000516222
     939.0  0.0012431330  0.0012425260  0.0000435637  0.0000515012
     940.0  0.0012396540  0.0012390480  0.0000432781  0.0000513571
     941.0  0.0012350740  0.0012344690  0.0000429434  0.0000511674
     942.0  0.0012295870  0.0012289850  0.0000425719  0.0000509402
     943.0  0.0012226290  0.0012220300  0.0000421398  0.0000506519
     944.0  0.0012148099  0.0012142140  0.0000416777  0.0000503279
     945.0  0.0012064290  0.0012058370  0.0000412038  0.0000499807
     946.0  0.0011989890  0.0011984000  0.0000407886  0.0000496725
     947.0  0.0011936870  0.0011931000  0.0000404911  0.0000494528
     948.0  0.0011916530  0.0011910660  0.0000403589  0.0000493686
     949.0  0.0011934740  0.0011928860  0.0000404157  0.0000494440
     950.0  0.0011983850  0.0011977931  0.0000406166  0.0000496475
     951.0  0.0012059869  0.0012053900  0.0000409417  0.0000499623
     952.0  0.0012147380  0.0012141360  0.0000413208  0.0000503249
     953.0  0.0012247961  0.0012241880  0.0000417748  0.0000507416
     954.0  0.0012355500  0.0012349340  0.0000422897  0.0000511872
     955.0  0.0012477949  0.0012471720  0.0000429165  0.0000516944
     956.0  0.0012611580  0.0012605269  0.0000436415  0.0000522481
     957.0  0.0012755330  0.0012748920  0.0000444507  0.0000528435
     958.0  0.0012898750  0.0012892260  0.0000452771  0.0000534378
     959.0  0.0013030150  0.0013023569  0.0000460389  0.0000539821
     960.0  0.0013139599  0.0013132950  0.0000466661  0.0000544355
     961.0  0.0013215750  0.0013209051  0.0000470831  0.0000547510
     962.0  0.0013257460  0.0013250720  0.0000472743  0.0000549239
     963.0  0.0013260799  0.0013254050  0.0000472174  0.0000549377
     964.0  0.0013233260  0.0013226520  0.0000469559  0.0000548237
     965.0  0.0013177540  0.0013170820  0.0000465153  0.0000545927
     966.0  0.0013103409  0.0013096730  0.0000459572  0.0000542856
     967.0  0.0013014480  0.0013007830  0.0000453138  0.0000539172
     968.0  0.0012916740  0.0012910150  0.0000446227  0.0000535122
     969.0  0.0012813410  0.0012806871  0.0000439086  0.0000530842
     970.0  0.0012709610  0.0012703130  0.0000432044  0.0000526541
     971.0  0.0012613120  0.0012606680  0.0000425579  0.0000522543
     972.0  0.0012533900  0.0012527501  0.0000420311  0.0000519263
     973.0  0.0012483840  0.0012477461  0.0000416899  0.0000517188
     974.0  0.0012472949  0.0012466570  0.0000415912  0.0000516738
     975.0  0.0012508481  0.0012502060  0.0000417662  0.0000518209
     976.0  0.0012588850  0.0012582380  0.0000422011  0.0000521539
     977.0  0.0012710190  0.0012703630  0.0000428632  0.0000526565
     978.0  0.0012856650  0.0012850000  0.0000436622  0.0000532633
     979.0  0.0013016660  0.0013009900  0.0000445292  0.0000539263
     980.0  0.0013172310  0.0013165449  0.0000453672  0.0000545711
     981.0  0.0013314360  0.0013307401  0.0000461260  0.0000551595
     982.0  0.0013435940  0.0013428890  0.0000467700  0.0000556633
     983.0  0.0013534330  0.0013527210  0.0000472861  0.0000560707
     984.0  0.0013612410  0.0013605230  0.0000476894  0.0000563942
     985.0  0.0013669310  0.0013662090  0.0000479754  0.0000566301
     986.0  0.0013708971  0.0013701720  0.0000481612  0.0000567944
     987.0  0.0013729091  0.0013721799  0.0000482336  0.0000568777
     988.0  0.0013731380  0.0013724080  0.0000481971  0.0000568872
     989.0  0.0013713500  0.0013706200  0.0000480406  0.0000568133
     990.0  0.0013676200  0.0013668910  0.0000477654  0.0000566590
     991.0  0.0013617830  0.0013610550  0.0000473663  0.0000564178
     992.0  0.0013537640  0.0013530400  0.0000468395  0.0000560871
     993.0  0.0013434381  0.0013427190  0.0000461790  0.0000556627
     994.0  0.0013305800  0.0013298660  0.0000453763  0.0000551367
     995.0  0.0013153020  0.0013145960  0.0000444371  0.0000545165
     996.0  0.0012975070  0.0012968100  0.0000433660  0.0000538012
     997.0  0.0012779280  0.0012772410  0.0000422060  0.0000530257
     998.0  0.0012566660  0.0012559911  0.0000409803  0.0000521984
     999.0  0.0012348840  0.0012342210  0.0000397571  0.0000513714
    1000.0  0.0012124199  0.0012117689  0.0000385460  0.0000505399
    1001.0  0.0011900440  0.0011894041  0.0000373887  0.0000497360
    1002.0  0.0011670380  0.0011664100  0.0000362578  0.0000489267
    1003.0  0.0011433560  0.0011427390  0.0000351447  0.0000481053
    1004.0  0.0011181670  0.0011175630  0.0000340095  0.0000472304
    1005.0  0.0010910000  0.0010904110  0.0000328200  0.0000462762
    1006.0  0.0010615900  0.0010610160  0.0000315591  0.0000452250
    1007.0  0.0010297700  0.0010292130  0.0000302109  0.0000440659
    1008.0  0.0009962572  0.0009957186  0.0000288003  0.0000428258
    1009.0  0.0009615202  0.0009610005  0.0000273447  0.0000415235
    1010.0  0.0009269103  0.0009264094  0.0000258991  0.0000402156
    1011.0  0.0008929871  0.0008925047  0.0000244894  0.0000389262
    1012.0  0.0008607939  0.0008603290  0.0000231597  0.0000377000
    1013.0  0.0008303917  0.0008299431  0.0000219129  0.0000365404
    1014.0  0.0008022633  0.0008018300  0.0000207679  0.0000354693
    1015.0  0.0007761648  0.0007757453  0.0000197135  0.0000344773
    1016.0  0.0007524923  0.0007520855  0.0000187631  0.0000335832
    1017.0  0.0007310064  0.0007306109  0.0000179122  0.0000327778
    1018.0  0.0007119958  0.0007116100  0.0000171719  0.0000320752
    1019.0  0.0006952278  0.0006948504  0.0000165413  0.0000314662
    1020.0  0.0006803847  0.0006800147  0.0000160097  0.0000309369
    1021.0  0.0006672374  0.0006668740  0.0000155693  0.0000304778
    1022.0  0.0006548711  0.0006545138  0.0000151837  0.0000300479
    1023.0  0.0006432303  0.0006428789  0.0000148401  0.0000296454
    1024.0  0.0006315461  0.0006312008  0.0000145025  0.0000292356
    1025.0  0.0006201904  0.0006198513  0.0000141685  0.0000288368
    1026.0  0.0006091668  0.0006088337  0.0000138320  0.0000284498
    1027.0  0.0005991881  0.0005988606  0.0000135101  0.0000281088
    1028.0  0.0005905725  0.0005902497  0.0000132190  0.0000278285
    1029.0  0.0005834458  0.0005831267  0.0000129671  0.0000276149
    1030.0  0.0005772326  0.0005769166  0.0000127475  0.0000274395
    1031.0  0.0005708514  0.0005705383  0.0000125308  0.0000272509
    1032.0  0.0005629445  0.0005626350  0.0000122823  0.0000269833
