The columns below contain (from left to right):
Wavenumber, spectral surface albedo, spectral surface albedo weighted by 
the calculated spectral total downwelling SW flux at the surface, and the 
Spectral Solar Function (spectral irradiance) a la Kurucz incident at
TOA (no solar zenith or Earth-Sun distance adjustment --same in all files)
    wvn(cm-1)  sfcalb      sfcalb_w  SSF(mWm-2/cm-1)
     820.0     0.04136     0.00075    1.65699005
     821.0     0.04136     0.00075    1.66102004
     822.0     0.04136     0.00075    1.66494000
     823.0     0.04136     0.00075    1.66891003
     824.0     0.04136     0.00074    1.67293000
     825.0     0.04136     0.00074    1.67691004
     826.0     0.04136     0.00073    1.68087995
     827.0     0.04136     0.00074    1.68482995
     828.0     0.04136     0.00074    1.68850994
     829.0     0.04136     0.00075    1.69274998
     830.0     0.04136     0.00076    1.69676006
     831.0     0.04136     0.00078    1.70084000
     832.0     0.04136     0.00079    1.70483994
     833.0     0.04136     0.00079    1.70880997
     834.0     0.04136     0.00080    1.71229005
     835.0     0.04136     0.00079    1.71677005
     836.0     0.04136     0.00079    1.72068000
     837.0     0.04136     0.00078    1.72486997
     838.0     0.04136     0.00078    1.72885001
     839.0     0.04136     0.00078    1.73277998
     840.0     0.04136     0.00078    1.73687005
     841.0     0.04136     0.00078    1.74083996
     842.0     0.04136     0.00078    1.74515998
     843.0     0.04136     0.00079    1.74895000
     844.0     0.04136     0.00080    1.75328004
     845.0     0.04136     0.00080    1.75730002
     846.0     0.04136     0.00079    1.76136994
     847.0     0.04136     0.00078    1.76543999
     848.0     0.04136     0.00077    1.76953995
     849.0     0.04136     0.00074    1.77340996
     850.0     0.04136     0.00072    1.77754998
     851.0     0.04136     0.00071    1.78176999
     852.0     0.04136     0.00070    1.78578997
     853.0     0.04136     0.00070    1.78994000
     854.0     0.04136     0.00071    1.79402995
     855.0     0.04136     0.00073    1.79820001
     856.0     0.04136     0.00076    1.80232000
     857.0     0.04136     0.00078    1.80610001
     858.0     0.04136     0.00081    1.81048000
     859.0     0.04136     0.00083    1.81463003
     860.0     0.04136     0.00085    1.81868994
     861.0     0.04136     0.00085    1.82280004
     862.0     0.04136     0.00086    1.82707000
     863.0     0.04136     0.00086    1.83115995
     864.0     0.04136     0.00086    1.83536994
     865.0     0.04136     0.00086    1.83921003
     866.0     0.04136     0.00086    1.84311998
     867.0     0.04136     0.00086    1.84764004
     868.0     0.04136     0.00086    1.85194004
     869.0     0.04136     0.00086    1.85618997
     870.0     0.04136     0.00086    1.86034000
     871.0     0.04136     0.00087    1.86459005
     872.0     0.04136     0.00087    1.86865997
     873.0     0.04136     0.00088    1.87241006
     874.0     0.04136     0.00088    1.87709999
     875.0     0.04136     0.00088    1.88129997
     876.0     0.04136     0.00089    1.88552999
     877.0     0.04136     0.00089    1.88952005
     878.0     0.04136     0.00088    1.89385998
     879.0     0.04136     0.00088    1.89784002
     880.0     0.04136     0.00088    1.90221000
     881.0     0.04136     0.00088    1.90610003
     882.0     0.04136     0.00087    1.91069996
     883.0     0.04136     0.00087    1.91492999
     884.0     0.04136     0.00087    1.91474998
     885.0     0.04136     0.00087    1.92271996
     886.0     0.04136     0.00087    1.92763996
     887.0     0.04136     0.00087    1.93199003
     888.0     0.04136     0.00088    1.93627000
     889.0     0.04136     0.00089    1.94033003
     890.0     0.04136     0.00090    1.94474995
     891.0     0.04136     0.00091    1.94891000
     892.0     0.04136     0.00093    1.95325005
     893.0     0.04136     0.00094    1.95754004
     894.0     0.04136     0.00096    1.96115005
     895.0     0.04136     0.00097    1.96612000
     896.0     0.04136     0.00097    1.97040999
     897.0     0.04136     0.00098    1.97450995
     898.0     0.04136     0.00098    1.97903001
     899.0     0.04136     0.00098    1.98333001
     900.0     0.04136     0.00099    1.98765004
     901.0     0.04136     0.00099    1.99164999
     902.0     0.04136     0.00098    1.99559999
     903.0     0.04136     0.00098    2.00054002
     904.0     0.04136     0.00097    2.00475001
     905.0     0.04136     0.00096    2.00856996
     906.0     0.04136     0.00095    2.01352000
     907.0     0.04136     0.00095    2.01764989
     908.0     0.04136     0.00094    2.02212000
     909.0     0.04136     0.00094    2.02648997
     910.0     0.04136     0.00095    2.03077006
     911.0     0.04136     0.00096    2.03490996
     912.0     0.04136     0.00097    2.03946996
     913.0     0.04136     0.00098    2.04398990
     914.0     0.04136     0.00099    2.04836988
     915.0     0.04136     0.00100    2.05253005
     916.0     0.04136     0.00100    2.05632997
     917.0     0.04136     0.00100    2.06115007
     918.0     0.04136     0.00100    2.06576991
     919.0     0.04136     0.00099    2.06996012
     920.0     0.04136     0.00099    2.07464004
     921.0     0.04136     0.00098    2.07852006
     922.0     0.04136     0.00098    2.08298993
     923.0     0.04136     0.00098    2.08784008
     924.0     0.04136     0.00098    2.09217000
     925.0     0.04136     0.00099    2.09644008
     926.0     0.04136     0.00100    2.10097003
     927.0     0.04136     0.00101    2.10489988
     928.0     0.04136     0.00103    2.11001992
     929.0     0.04136     0.00104    2.11441994
     930.0     0.04136     0.00105    2.11882997
     931.0     0.04136     0.00105    2.12318993
     932.0     0.04136     0.00106    2.12764001
