Flux units are Wm-2/cm-1
    wavn(cm-1) flxtoa_up     flxsfc_dn
     195.5     0.1217719     0.1699203
     196.5     0.1289766     0.1711589
     197.5     0.1208932     0.1724134
     198.5     0.1296723     0.1736500
     199.5     0.1283477     0.1748953
     200.5     0.1203857     0.1761563
     201.5     0.1160210     0.1774044
     202.5     0.1148893     0.1786460
     203.5     0.1124715     0.1798838
     204.5     0.1245192     0.1811184
     205.5     0.1304823     0.1823526
     206.5     0.1310645     0.1835916
     207.5     0.1221751     0.1848371
     208.5     0.1144279     0.1860798
     209.5     0.1270964     0.1873137
     210.5     0.1321828     0.1885480
     211.5     0.1396788     0.1897808
     212.5     0.1337057     0.1910300
     213.5     0.1320189     0.1922689
     214.5     0.1266624     0.1935120
     215.5     0.1401773     0.1947347
     216.5     0.1505613     0.1959602
     217.5     0.1546177     0.1971862
     218.5     0.1550088     0.1984246
     219.5     0.1527081     0.1996754
     220.5     0.1447927     0.2009323
     221.5     0.1254993     0.2021859
     222.5     0.1383390     0.2034198
     223.5     0.1341799     0.2046624
     224.5     0.1453286     0.2058955
     225.5     0.1379558     0.2071375
     226.5     0.1277445     0.2083564
     227.5     0.1281730     0.2095664
     228.5     0.1327525     0.2107740
     229.5     0.1502096     0.2119735
     230.5     0.1531339     0.2131833
     231.5     0.1550686     0.2143928
     232.5     0.1616397     0.2155903
     233.5     0.1569976     0.2168056
     234.5     0.1739172     0.2179563
     235.5     0.1754348     0.2191528
     236.5     0.1788327     0.2203220
     237.5     0.1798446     0.2215269
     238.5     0.1813909     0.2227243
     239.5     0.1821272     0.2239380
     240.5     0.1823305     0.2251633
     241.5     0.1817254     0.2263990
     242.5     0.1781666     0.2276437
     243.5     0.1729505     0.2288887
     244.5     0.1518645     0.2301268
     245.5     0.1375099     0.2313398
     246.5     0.1562809     0.2325424
     247.5     0.1457911     0.2337632
     248.5     0.1467777     0.2349628
     249.5     0.1653697     0.2361474
     250.5     0.1738915     0.2373089
     251.5     0.1693632     0.2384785
     252.5     0.1638668     0.2396535
     253.5     0.1485641     0.2408300
     254.5     0.1474225     0.2419959
     255.5     0.1686580     0.2431518
     256.5     0.1744102     0.2443077
     257.5     0.1857709     0.2454523
     258.5     0.1944631     0.2465779
     259.5     0.1988185     0.2476960
     260.5     0.2024556     0.2488139
     261.5     0.2046561     0.2499470
     262.5     0.2035469     0.2511554
     263.5     0.1949959     0.2523808
     264.5     0.2026641     0.2535456
     265.5     0.1839234     0.2548088
     266.5     0.1670087     0.2559927
     267.5     0.1962490     0.2571222
     268.5     0.2107032     0.2581017
     269.5     0.2137928     0.2591477
     270.5     0.2148612     0.2602735
     271.5     0.2074492     0.2615467
     272.5     0.2108794     0.2626917
     273.5     0.2099116     0.2638376
     274.5     0.2073474     0.2650115
     275.5     0.1822830     0.2661877
     276.5     0.1713253     0.2673030
     277.5     0.1722718     0.2684081
     278.5     0.1568477     0.2695170
     279.5     0.1807534     0.2706112
     280.5     0.1700233     0.2717186
     281.5     0.1725449     0.2728182
     282.5     0.1650502     0.2739246
     283.5     0.1953289     0.2750013
     284.5     0.2097396     0.2760793
     285.5     0.2123322     0.2771565
     286.5     0.2194256     0.2782186
     287.5     0.2162982     0.2793530
     288.5     0.2007478     0.2805097
