           z(km)    p(mb)    T(K)
       1   0.320   987.02   289.14
       2   0.374   980.72   288.11
       3   0.500   966.25   287.20
       4   0.750   937.73   284.57
       5   1.000   910.05   282.20
       6   1.500   856.29   277.25
       7   2.000   805.20   277.95
       8   2.500   757.50   280.00
       9   3.000   712.67   279.73
      10   3.500   670.40   277.15
      11   4.000   630.05   272.92
      12   4.500   591.65   270.15
      13   5.000   555.25   267.65
      14   5.500   520.73   264.45
      15   6.000   488.01   261.11
      16   6.500   456.88   257.35
      17   7.000   427.36   253.85
      18   7.500   399.36   250.96
      19   8.000   372.90   247.75
      20   8.500   347.93   243.79
      21   9.000   324.18   239.89
      22   9.500   301.74   236.75
      23  10.000   280.56   233.15
      24  11.000   242.04   228.76
      25  12.000   208.09   222.81
      26  13.000   178.03   215.89
      27  14.000   151.52   208.66
      28  15.000   128.51   204.61
      29  16.500    99.89   203.61
      30  18.000    77.49   205.23
      31  19.500    59.79   216.64
      32  21.000    47.29   217.60
      33  22.500    37.45   219.10
      34  24.000    29.72   220.60
      35  25.500    23.61   222.09
      36  27.000    18.80   223.52
      37  28.500    15.02   224.94
      38  30.000    11.97   226.50
      39  32.000     8.66   229.12
      40  34.000     6.53   233.74
      41  36.000     5.05   239.00
      42  38.000     3.86   244.37
      43  40.000     2.87   250.40
      44  42.000     2.20   255.94
      45  44.000     1.69   261.47
      46  46.000     1.31   267.14
      47  48.000     1.02   271.05
      48  50.000     0.80   270.70
      49  52.000     0.62   267.94
      50  54.000     0.48   263.46
      51  56.000     0.37   258.22
      52  58.000     0.29   252.73
      53  60.000     0.22   247.00
      54  64.000     0.13   236.04
      55  68.000     0.07   224.92
