"lambda","Cabs","Csca","g"
3.38e-06,1.14946178147651e-09,1.79870841195073e-08,0.877744478411149
3.4e-06,1.16670044629676e-09,1.79698517552965e-08,0.877878088800452
3.42e-06,1.18401265784567e-09,1.79525527689653e-08,0.878013059232733
3.44e-06,1.20139372731892e-09,1.79351572890176e-08,0.878148611299591
3.46e-06,1.21885493736208e-09,1.79176917162913e-08,0.878284990231853
3.48e-06,1.23637561059773e-09,1.79001507784558e-08,0.87842207060145
3.5e-06,1.25396384860034e-09,1.78825807105768e-08,0.87856006090195
3.52e-06,1.27161327351726e-09,1.7864937467779e-08,0.87869867976996
3.54e-06,1.28932860591852e-09,1.78472113871038e-08,0.878838140070541
3.56e-06,1.30710365500168e-09,1.78294306420072e-08,0.878978107451872
3.58e-06,1.3249298836348e-09,1.78116123359214e-08,0.879118783585343
3.6e-06,1.34281405181985e-09,1.77937574084295e-08,0.879259899205762
3.62e-06,1.3607501131691e-09,1.77757831671664e-08,0.879402610619942
3.64e-06,1.37873964442309e-09,1.77578031218136e-08,0.879545154486449
3.66e-06,1.39677856040218e-09,1.77397842039101e-08,0.879688872924861
3.68e-06,1.4148624804343e-09,1.7721726711441e-08,0.879832638391264
3.7e-06,1.43298758777973e-09,1.77035927669242e-08,0.879977704043922
3.72e-06,1.45115665375267e-09,1.76853939464436e-08,0.880123345522476
3.74e-06,1.46936684241255e-09,1.76671828697484e-08,0.880268974857495
3.76e-06,1.48761872074589e-09,1.76489311881088e-08,0.880415563344473
3.78e-06,1.50589961747612e-09,1.76306383299e-08,0.880562700235034
3.8e-06,1.52422220803457e-09,1.76123257409141e-08,0.880710373997003
3.82e-06,1.54257005692854e-09,1.75940114820422e-08,0.880858816461067
3.84e-06,1.56095644391686e-09,1.7575575459803e-08,0.88100764220522
3.86e-06,1.57936247974254e-09,1.75571970111229e-08,0.88115693977466
3.88e-06,1.59780011644085e-09,1.75387583675438e-08,0.88130687146558
3.9e-06,1.61626020616661e-09,1.75202882067134e-08,0.881457156830629
3.92e-06,1.63474490649276e-09,1.7501794754343e-08,0.881607905935249
3.94e-06,1.65324020195776e-09,1.74833105808499e-08,0.881759319018625
3.96e-06,1.67176654397802e-09,1.74647924720926e-08,0.881911133606203
3.98e-06,1.6903066359051e-09,1.74462331628896e-08,0.882063749206312
4e-06,1.70886121533532e-09,1.74276942773472e-08,0.882216342592882
4.02e-06,1.72742507291076e-09,1.74091206282394e-08,0.882369160599566
4.04e-06,1.74600287183201e-09,1.73905494750448e-08,0.882522839921929
4.06e-06,1.76459122020817e-09,1.73719583543493e-08,0.882676644425242
4.08e-06,1.78318540946102e-09,1.73533630727669e-08,0.882831019493963
4.1e-06,1.80178396115658e-09,1.7334754183045e-08,0.882985690918056
4.12e-06,1.82038663193022e-09,1.7316166016253e-08,0.883140889192993
4.14e-06,1.83899507854615e-09,1.72975609510701e-08,0.883296112438363
4.16e-06,1.85760497503208e-09,1.72789536590388e-08,0.883451551275239
4.18e-06,1.87620775357734e-09,1.72603504090907e-08,0.883607484050112
4.2e-06,1.89480886248234e-09,1.72417469746119e-08,0.883763781067974
4.22e-06,1.91340574649816e-09,1.72231636944926e-08,0.883920585281811
4.24e-06,1.93199657626891e-09,1.72045344030328e-08,0.884077628883462
4.26e-06,1.95058221824651e-09,1.71859782784261e-08,0.884234480728159
4.28e-06,1.96915411095521e-09,1.7167393867276e-08,0.884392006448761
4.3e-06,1.9877180336145e-09,1.71488010068512e-08,0.884549375400054
4.32e-06,2.00626647025163e-09,1.71302927287832e-08,0.884707406084683
4.34e-06,2.02479891658975e-09,1.71117337767811e-08,0.884865486603962
4.36e-06,2.04332362996861e-09,1.70931948437359e-08,0.885023665144433
4.38e-06,2.06182760449111e-09,1.70746989647506e-08,0.885182042561486
4.4e-06,2.08031218929309e-09,1.70562403847514e-08,0.885340975593183
4.42e-06,2.09877137970811e-09,1.70377873301108e-08,0.88549924999252
4.44e-06,2.11721547002455e-09,1.70193449156499e-08,0.885658509051597
4.46e-06,2.13563313944331e-09,1.70009143668757e-08,0.885817453276792
4.48e-06,2.15403125427602e-09,1.69825051267239e-08,0.885976616792728
4.5e-06,2.17240135826084e-09,1.69641482642186e-08,0.886136021737787
4.52e-06,2.19074264034649e-09,1.69457911545946e-08,0.886295360030042
4.54e-06,2.20905689329656e-09,1.6927493254224e-08,0.886455070161108
4.56e-06,2.227341629617e-09,1.69092065923855e-08,0.886614627628237
4.58e-06,2.24559413292324e-09,1.68909526429053e-08,0.886774263457075
4.6e-06,2.26381422690162e-09,1.6872736403069e-08,0.886933815984497
4.62e-06,2.28200058852419e-09,1.68545554245954e-08,0.887094015952771
4.64e-06,2.30015563389026e-09,1.68364083992668e-08,0.88725350938842
4.66e-06,2.31827009040718e-09,1.68182790766724e-08,0.887413486479353
4.68e-06,2.33634827532741e-09,1.68001785855018e-08,0.887573194373541
4.7e-06,2.35438920905664e-09,1.67821480366954e-08,0.887733117555154
4.72e-06,2.37239206885761e-09,1.67641741569014e-08,0.887892913268786
4.74e-06,2.39035430416658e-09,1.67462038136453e-08,0.88805265771872
4.76e-06,2.40826968833181e-09,1.67282784893251e-08,0.888212316053659
4.78e-06,2.42614880136695e-09,1.67104179190767e-08,0.888372305790994
4.8e-06,2.443982101232e-09,1.66925596308766e-08,0.888531447067918
4.82e-06,2.46176624469274e-09,1.66747648415405e-08,0.88869135163226
4.84e-06,2.47951023265218e-09,1.66570529729204e-08,0.888851081095328
4.86e-06,2.49720669052054e-09,1.6639353545622e-08,0.889010469375317
4.88e-06,2.51485213657306e-09,1.66216839710655e-08,0.889169706201426
4.9e-06,2.53245175299697e-09,1.66041003911072e-08,0.88932893393868
4.92e-06,2.54999913551685e-09,1.65865590601614e-08,0.889487966347951
4.94e-06,2.56749663462694e-09,1.65690252145453e-08,0.889647244604276
4.96e-06,2.58494351560999e-09,1.65516189030508e-08,0.889806139563269
4.98e-06,2.60234221905301e-09,1.65342016347396e-08,0.889964557008552
5e-06,2.61968266569029e-09,1.65168398979088e-08,0.890123505636838
5.02e-06,2.63696866860255e-09,1.64995844093607e-08,0.890281730987982
5.04e-06,2.65420360682309e-09,1.64823535886229e-08,0.890439971020804
5.06e-06,2.67137961840977e-09,1.64651554880816e-08,0.890597738292204
5.08e-06,2.6885003577187e-09,1.64480442036598e-08,0.890755713982319
5.1e-06,2.70556100118901e-09,1.64309809938667e-08,0.890913249003673
5.12e-06,2.72256565206911e-09,1.64139836540436e-08,0.891071026590317
5.14e-06,2.73951407382102e-09,1.63970235121935e-08,0.891227922543078
5.16e-06,2.75640458644356e-09,1.63801108507682e-08,0.891385262512543
5.18e-06,2.77323135476774e-09,1.6363312066743e-08,0.89154162680711
5.2e-06,2.78999660946656e-09,1.63465489622734e-08,0.891698228319771
5.22e-06,2.8067039478909e-09,1.63298522284526e-08,0.891854453779712
5.24e-06,2.82334778672254e-09,1.63131806728681e-08,0.892010632243585
5.26e-06,2.83992971966064e-09,1.62966095171221e-08,0.892166553724761
5.28e-06,2.85644809727557e-09,1.62801013437884e-08,0.892321481588909
5.3e-06,2.87290177352258e-09,1.6263637891792e-08,0.892476789079071
5.32e-06,2.88929436096425e-09,1.6247238131087e-08,0.892631469294764
5.34e-06,2.90561958944132e-09,1.62309316195459e-08,0.892786353437368
5.36e-06,2.92188331966022e-09,1.62146801788667e-08,0.892940640112894
5.38e-06,2.9380765019867e-09,1.61984638007276e-08,0.89309429066339
5.4e-06,2.9542050549448e-09,1.61823651166324e-08,0.893247968984302
5.42e-06,2.9702695027425e-09,1.61662680078863e-08,0.893401076403166
5.44e-06,2.98626480473192e-09,1.61502520843012e-08,0.893554231406875
5.46e-06,3.00219352469142e-09,1.61343543902161e-08,0.893706660134
5.48e-06,3.01805066188315e-09,1.61184818430076e-08,0.893859012080729
5.5e-06,3.03384240399633e-09,1.61027031458316e-08,0.894011016212905
5.52e-06,3.04956441411272e-09,1.60869798637635e-08,0.894162345858021
5.54e-06,3.06521519496329e-09,1.60713232590715e-08,0.894313853396655
5.56e-06,3.08080429557019e-09,1.60557427823526e-08,0.894464140037194
5.58e-06,3.09631490117411e-09,1.60402190192107e-08,0.894614608241709
5.6e-06,3.11175860449652e-09,1.60247860215901e-08,0.894764702483713
5.62e-06,3.12713249626917e-09,1.60094102491259e-08,0.894914248587856
5.64e-06,3.14243217110637e-09,1.59941159089803e-08,0.895063335474427
5.66e-06,3.15766541701664e-09,1.5978870384385e-08,0.89521237334851
5.68e-06,3.17282376034178e-09,1.59637183547916e-08,0.895360520953527
5.7e-06,3.18790945395851e-09,1.59486596509113e-08,0.895507987399534
5.72e-06,3.20292566072263e-09,1.59336071328898e-08,0.895655829598224
5.74e-06,3.2178714065995e-09,1.59186776655531e-08,0.895803026115221
5.76e-06,3.2327372303401e-09,1.59038221833582e-08,0.8959493823394
5.78e-06,3.24753688346664e-09,1.58890038536264e-08,0.89609566954958
5.8e-06,3.26226045638072e-09,1.5874257007399e-08,0.896241498875726
5.82e-06,3.27691586097024e-09,1.58596212429791e-08,0.896386591168326
5.84e-06,3.29149413124444e-09,1.58450658353255e-08,0.89653159193518
5.86e-06,3.30599991013518e-09,1.58305480941433e-08,0.896675502964118
5.88e-06,3.32043118095584e-09,1.58161150583884e-08,0.896819685262311
5.9e-06,3.33478686284967e-09,1.58017537554446e-08,0.896963126493676
5.92e-06,3.34906923574593e-09,1.57874568806438e-08,0.897105919873792
5.94e-06,3.36327909321528e-09,1.57732704817256e-08,0.897248248128047
5.96e-06,3.37741764098959e-09,1.57591069416831e-08,0.897390173872789
5.98e-06,3.39147574592961e-09,1.57450541298099e-08,0.89753170694213
6e-06,3.4054674339507e-09,1.57310814535487e-08,0.897672441352365
6.02e-06,3.41937967402144e-09,1.57171588988474e-08,0.897812888229116
6.04e-06,3.43321336114322e-09,1.57033127011071e-08,0.897952659242817
6.06e-06,3.44697609529648e-09,1.56895356907854e-08,0.898092641265519
6.08e-06,3.46066854804054e-09,1.56758738703159e-08,0.898231147500608
6.1e-06,3.47428018396875e-09,1.56622559853878e-08,0.898369592421823
6.12e-06,3.48782189321453e-09,1.56487196002423e-08,0.898507743441358
6.14e-06,3.5012854003126e-09,1.56352412586203e-08,0.898644926537744
6.16e-06,3.51467397999148e-09,1.56218614149539e-08,0.898781414593887
6.18e-06,3.527989748352e-09,1.56085489080387e-08,0.898917845895749
6.2e-06,3.54123049470543e-09,1.55953374082955e-08,0.899053834579904
6.22e-06,3.55439414167185e-09,1.55821670449708e-08,0.899189043888678
6.24e-06,3.56748371521496e-09,1.55690552182929e-08,0.89932365882424
6.26e-06,3.58049948327006e-09,1.55560296457815e-08,0.899457489204899
6.28e-06,3.59344088224113e-09,1.55431017648036e-08,0.899591287640918
6.3e-06,3.606305107543e-09,1.55302307039879e-08,0.899724197345531
6.32e-06,3.61910032350754e-09,1.55174450496574e-08,0.899856369528445
6.34e-06,3.63181407160361e-09,1.55047440262972e-08,0.899988294201032
6.36e-06,3.6444574390692e-09,1.54921090037278e-08,0.900120114529577
6.38e-06,3.65702188863059e-09,1.5479513230059e-08,0.9002507096519
6.4e-06,3.66951945551654e-09,1.54670254023675e-08,0.900380806482053
6.42e-06,3.68193711949272e-09,1.54546053607006e-08,0.900510828341035
6.44e-06,3.69427805447704e-09,1.54422632360798e-08,0.900639817657242
6.46e-06,3.70655020705627e-09,1.54299999239426e-08,0.90076803092556
6.48e-06,3.71874480553677e-09,1.54177883888268e-08,0.90089593935161
6.5e-06,3.73086397063784e-09,1.5405670675797e-08,0.90102342610694
6.52e-06,3.74291695477678e-09,1.53936458008709e-08,0.901150075540322
6.54e-06,3.75488759383556e-09,1.538167683036e-08,0.901276816991221
6.56e-06,3.76679109084886e-09,1.53697759642814e-08,0.901401979827791
6.58e-06,3.77861635686411e-09,1.53579337385559e-08,0.901527325466266
6.6e-06,3.79036859670606e-09,1.5346175760682e-08,0.901651661546457
6.62e-06,3.80204874914388e-09,1.53345135112495e-08,0.901775377500716
6.64e-06,3.81365678892999e-09,1.53228929370808e-08,0.901898747592615
6.66e-06,3.8251887428162e-09,1.53113700228771e-08,0.902021515745853
6.68e-06,3.83665037334322e-09,1.52998729864886e-08,0.902143538015134
6.7e-06,3.848037337229e-09,1.52885175931539e-08,0.902264964991803
6.72e-06,3.85935524492071e-09,1.52771891195054e-08,0.902385703905379
6.74e-06,3.87060052315411e-09,1.52659325587549e-08,0.902506589573327
6.76e-06,3.88176932674471e-09,1.52547707613458e-08,0.902626116780754
6.78e-06,3.89286827273778e-09,1.52436617695274e-08,0.902744867122025
6.8e-06,3.903896164465e-09,1.52326473500022e-08,0.902863558931079
6.82e-06,3.91484864908399e-09,1.52217174800099e-08,0.902981675202226
6.84e-06,3.92573402917763e-09,1.52108069523882e-08,0.903098599826242
6.86e-06,3.93654893319554e-09,1.5199988214022e-08,0.903215589237769
6.88e-06,3.94728824503591e-09,1.51892624085137e-08,0.903331279193936
6.9e-06,3.95795808346089e-09,1.51785787119976e-08,0.903447419165805
6.92e-06,3.96855840973799e-09,1.51679886306178e-08,0.903561815007441
6.94e-06,3.9790858551284e-09,1.51574835042515e-08,0.903676438296181
6.96e-06,3.98954584182229e-09,1.5147004623965e-08,0.903790232435757
6.98e-06,3.99993237165959e-09,1.51365788756199e-08,0.903903146337573
7e-06,4.0102522116946e-09,1.51262814280481e-08,0.904015727954354
7.02e-06,4.02049958580923e-09,1.51160392500192e-08,0.904127322451405
7.04e-06,4.03067876824621e-09,1.51058809323699e-08,0.904238694503287
7.06e-06,4.04078949652315e-09,1.50957632544126e-08,0.904349445956164
7.08e-06,4.05083010589004e-09,1.50857155171969e-08,0.904459380818939
7.1e-06,4.0608036340904e-09,1.50757388408862e-08,0.904568569954347
7.12e-06,4.07070683804309e-09,1.50658503937643e-08,0.904677501215516
7.14e-06,4.08054326774807e-09,1.50559840730162e-08,0.904785800740259
7.16e-06,4.09031118912393e-09,1.50462637609293e-08,0.904893631903441
7.18e-06,4.10000736491721e-09,1.50365235301205e-08,0.905000217800045
7.2e-06,4.10963937304159e-09,1.50269128828885e-08,0.905106804412449
7.22e-06,4.11920412548714e-09,1.50173479271817e-08,0.905212668398159
7.24e-06,4.12869874978105e-09,1.5007866738025e-08,0.905317576674699
7.26e-06,4.13812838137585e-09,1.49983984849767e-08,0.905422142262263
7.28e-06,4.14749221031275e-09,1.49890541668996e-08,0.905526060725742
7.3e-06,4.15678555399444e-09,1.49797560103785e-08,0.905629372335684
7.32e-06,4.16601754084471e-09,1.49705291624275e-08,0.905731937554261
7.34e-06,4.17518055081684e-09,1.4961354124272e-08,0.905833988244865
7.36e-06,4.18427899642812e-09,1.49522610451629e-08,0.905935779196573
7.38e-06,4.19331348763382e-09,1.49432173383869e-08,0.906036969208913
7.4e-06,4.20227787227318e-09,1.49342579024861e-08,0.90613730203703
7.42e-06,4.21117890175703e-09,1.49253826390233e-08,0.906236663854855
7.44e-06,4.22001895823263e-09,1.49165339262096e-08,0.906335688405833
7.46e-06,4.22879290494539e-09,1.4907746258921e-08,0.906434259574024
7.48e-06,4.23750469373029e-09,1.48990497557944e-08,0.906532253089214
7.5e-06,4.24614852916283e-09,1.48903745733301e-08,0.906629323676325
7.52e-06,4.25473127089205e-09,1.48817918969256e-08,0.906726153722501
7.54e-06,4.26324636761311e-09,1.48733339896388e-08,0.906822056081865
7.56e-06,4.27169996691812e-09,1.4864850032781e-08,0.906917525721822
7.58e-06,4.28009474598713e-09,1.4856452162749e-08,0.907012305108554
7.6e-06,4.28842583506953e-09,1.48481128919091e-08,0.907106639609404
7.62e-06,4.29668704679806e-09,1.48398440537987e-08,0.907200033608704
7.64e-06,4.3048949307042e-09,1.4831667770605e-08,0.907293300880036
7.66e-06,4.31304083532038e-09,1.48235079041126e-08,0.907385521742281
7.68e-06,4.32111962887654e-09,1.48154340179016e-08,0.907477539863355
7.7e-06,4.32913885416864e-09,1.48074065456146e-08,0.907568759129852
7.72e-06,4.33709851412115e-09,1.47994162185214e-08,0.907659277516212
