"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
3.4939,1.5354,1.52876664,0.00441
3.5033,1.53552,1.528453604,0.00342
3.5128,1.53537,1.527936788,0.0027
3.5224,1.53487,1.527386006,0.00222
3.532,1.53403,1.526813458,0.00174
3.5416,1.53321,1.526110243,0.00138
3.5513,1.53259,1.525426045,0.00152
3.5611,1.53199,1.525021208,0.00188
3.5709,1.53122,1.524845373,0.002
3.5807,1.53076,1.52467656,0.00192
3.5907,1.53089,1.524455299,0.00191
3.6006,1.5308,1.524251754,0.00178
3.6107,1.53039,1.523969951,0.0018
3.6207,1.53003,1.52384641,0.00194
3.6309,1.52989,1.523736817,0.00183
3.6411,1.52999,1.523548949,0.00163
3.6513,1.52983,1.523296955,0.00159
3.6617,1.52928,1.523096632,0.0017
3.672,1.52888,1.523063649,0.00173
3.6825,1.52899,1.522956357,0.00144
3.693,1.52931,1.522645799,0.00107
3.7035,1.52929,1.522211012,0.00105
3.7141,1.52871,1.521898122,0.00131
3.7248,1.52796,1.521785138,0.00151
3.7355,1.52758,1.521722931,0.00142
3.7463,1.52757,1.521539147,0.00124
3.7572,1.52758,1.521254414,0.00114
3.7681,1.52712,1.520960132,0.00117
3.7791,1.52656,1.520711711,0.00129
3.7901,1.52634,1.520546038,0.00139
3.8013,1.52652,1.520371469,0.0014
3.8124,1.52659,1.520201474,0.00141
3.8237,1.5264,1.520000891,0.00147
3.835,1.52605,1.519856733,0.00156
3.8464,1.52548,1.519773631,0.00166
3.8578,1.52511,1.519754173,0.00161
3.8693,1.52528,1.519568974,0.00124
3.8809,1.52536,1.51918089,0.00112
3.8926,1.52511,1.518815379,0.0013
3.9043,1.52494,1.518622179,0.00158
3.9161,1.52483,1.518559561,0.00174
3.928,1.52432,1.518513005,0.00171
3.9399,1.52362,1.518409541,0.0016
3.9519,1.52367,1.518232208,0.00151
3.964,1.52409,1.51803433,0.00146
3.9762,1.52413,1.517802939,0.00136
3.9884,1.52384,1.517516811,0.00129
4.0007,1.52371,1.51720293,0.00135
4.0131,1.52352,1.516987354,0.00157
4.0255,1.52329,1.51693457,0.0017
4.0381,1.52295,1.516850477,0.0015
4.0507,1.52269,1.516561121,0.00114
4.0634,1.52238,1.516111541,0.0011
4.0762,1.52196,1.51571277,0.00124
4.089,1.52166,1.515364257,0.00133
4.102,1.52153,1.515022508,0.00155
4.115,1.52134,1.514825885,0.00186
4.1281,1.52099,1.514682365,0.00194
4.1413,1.52039,1.514472064,0.00197
4.1546,1.52017,1.514226163,0.00209
4.1679,1.52022,1.514000936,0.00223
4.1814,1.52023,1.513781545,0.00246
4.1949,1.52012,1.513683272,0.00274
4.2085,1.52016,1.513618436,0.00289
4.2222,1.52079,1.513713189,0.00328
4.236,1.52151,1.513873942,0.0031
4.2499,1.52054,1.513942694,0.00301
4.2639,1.51962,1.51413373,0.00291
4.278,1.51872,1.514095567,0.00191
4.2921,1.51758,1.513404695,0.000982
4.3064,1.51772,1.512575602,0.00122
4.3208,1.51764,1.512037477,0.00143
4.3352,1.51758,1.51163381,0.00165
4.3498,1.51763,1.511323078,0.00189
