           z(km)    p(mb)    T(K)
       1   0.024  1011.40   285.95
       2   0.100  1002.32   285.17
       3   0.150   996.35   284.55
       4   0.210   989.16   284.55
       5   0.270   982.15   284.73
       6   0.330   975.16   287.01
       7   0.400   967.25   292.56
       8   0.500   956.16   293.95
       9   0.750   928.92   294.35
      10   1.000   902.54   295.61
      11   1.500   851.90   293.15
      12   2.000   803.61   290.55
      13   2.500   757.76   288.25
      14   3.000   714.00   284.45
      15   3.500   672.22   281.34
      16   4.000   632.53   278.69
      17   4.500   594.66   274.95
      18   5.000   558.72   272.39
      19   5.500   524.56   269.66
      20   6.000   492.20   266.42
      21   6.500   461.50   262.95
      22   7.000   432.35   259.99
      23   7.500   404.70   256.27
      24   8.000   378.35   251.66
      25   8.500   353.40   247.95
      26   9.000   329.74   244.75
      27   9.500   307.26   240.25
      28  10.000   286.05   236.95
      29  11.000   247.12   229.73
      30  12.000   212.42   221.92
      31  13.000   181.67   215.48
      32  14.000   154.95   214.15
      33  15.000   131.90   210.85
      34  16.500   103.03   203.25
      35  18.000    80.29   207.34
      36  19.500    62.73   210.18
      37  21.000    49.28   215.65
      38  22.500    38.88   219.62
      39  24.000    30.78   220.47
      40  25.500    24.42   223.95
      41  27.000    19.43   225.15
      42  28.500    15.36   226.68
      43  30.000    11.97   226.50
      44  32.000     8.66   229.12
      45  34.000     6.53   233.74
      46  36.000     5.05   239.00
      47  38.000     3.86   244.37
      48  40.000     2.87   250.40
      49  42.000     2.20   255.94
      50  44.000     1.69   261.47
      51  46.000     1.31   267.14
      52  48.000     1.02   271.05
      53  50.000     0.80   270.70
      54  52.000     0.62   267.94
      55  54.000     0.48   263.46
      56  56.000     0.37   258.22
      57  58.000     0.29   252.73
      58  60.000     0.22   247.00
      59  64.000     0.13   236.04
      60  68.000     0.07   224.92
