Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
      10.5     0.0007515     0.0007960
      11.5     0.0009073     0.0009519
      12.5     0.0009872     0.0011238
      13.5     0.0012077     0.0013062
      14.5     0.0012941     0.0015046
      15.5     0.0015107     0.0017158
      16.5     0.0016886     0.0019394
      17.5     0.0018580     0.0021775
      18.5     0.0018981     0.0024277
      19.5     0.0022571     0.0026899
      20.5     0.0025416     0.0029654
      21.5     0.0028334     0.0032519
      22.5     0.0031386     0.0035515
      23.5     0.0033300     0.0038656
      24.5     0.0034423     0.0041927
      25.5     0.0035708     0.0045315
      26.5     0.0041874     0.0048797
      27.5     0.0044621     0.0052398
      28.5     0.0048558     0.0056124
      29.5     0.0052185     0.0059983
      30.5     0.0053788     0.0063994
      31.5     0.0058020     0.0068082
      32.5     0.0057615     0.0072280
      33.5     0.0061863     0.0076606
      34.5     0.0066670     0.0081036
      35.5     0.0068705     0.0085575
      36.5     0.0068205     0.0090250
      37.5     0.0072525     0.0095017
      38.5     0.0075552     0.0099910
      39.5     0.0080832     0.0104862
      40.5     0.0083375     0.0109946
      41.5     0.0090635     0.0115149
      42.5     0.0098455     0.0120434
      43.5     0.0102972     0.0125859
      44.5     0.0106456     0.0131351
      45.5     0.0112482     0.0137007
      46.5     0.0110856     0.0142710
      47.5     0.0115121     0.0148525
      48.5     0.0122994     0.0154406
      49.5     0.0130866     0.0160440
      50.5     0.0134599     0.0166532
      51.5     0.0138849     0.0172757
      52.5     0.0141950     0.0179067
      53.5     0.0139991     0.0185455
      54.5     0.0145746     0.0191980
      55.5     0.0148113     0.0198540
      56.5     0.0150805     0.0205301
      57.5     0.0157182     0.0212086
      58.5     0.0164851     0.0218865
      59.5     0.0172294     0.0225830
      60.5     0.0177835     0.0232850
      61.5     0.0186569     0.0239959
      62.5     0.0184617     0.0247251
      63.5     0.0192403     0.0254542
      64.5     0.0198696     0.0261858
      65.5     0.0212153     0.0269359
      66.5     0.0219085     0.0276876
      67.5     0.0216305     0.0284503
      68.5     0.0220215     0.0292275
      69.5     0.0224838     0.0300047
      70.5     0.0238347     0.0307869
      71.5     0.0235109     0.0315896
      72.5     0.0236431     0.0323934
      73.5     0.0240650     0.0331977
      74.5     0.0249965     0.0340222
      75.5     0.0253807     0.0348552
      76.5     0.0270081     0.0356875
      77.5     0.0277089     0.0365198
      78.5     0.0273490     0.0373745
      79.5     0.0276948     0.0382349
      80.5     0.0288237     0.0390948
      81.5     0.0293655     0.0399607
