The first HR value is a filler; the 2nd HR corresponds to the layer
between levels 60 and 59, the 3rd HR corresponds to the layer between
levels 59 and 58, etc.
     level  p(mb) flxup(W/m2) flxdn(W/m2) HR(K/day)
      60    0.07    280.20      0.00      0.00
      59    0.13    280.23      0.11    -11.87
      58    0.22    280.28      0.22     -6.32
      57    0.29    280.30      0.30     -7.02
      56    0.37    280.33      0.41     -7.99
      55    0.48    280.35      0.55     -9.31
      54    0.62    280.35      0.73    -10.96
      53    0.80    280.32      0.96    -12.28
      52    1.02    280.24      1.23    -13.00
      51    1.31    280.11      1.52    -12.28
      50    1.69    279.95      1.82    -10.10
      49    2.20    279.78      2.13     -8.08
      48    2.87    279.58      2.46     -6.64
      47    3.86    279.38      2.84     -5.44
      46    5.05    279.16      3.26     -4.41
      45    6.53    278.96      3.73     -3.45
      44    8.66    278.83      4.30     -2.62
      43   11.97    278.80      5.05     -2.14
      42   15.36    278.80      6.02     -2.41
      41   19.43    278.71      7.72     -3.71
      40   24.42    278.56      9.29     -2.91
      39   30.78    278.49     10.49     -1.69
      38   38.88    278.52     11.77     -1.30
      37   49.28    278.51     12.76     -0.81
      36   62.73    278.64     13.44     -0.35
      35   80.29    279.38     13.99      0.10
      34  103.03    280.73     14.45      0.33
      33  131.90    283.47     16.34      0.25
      32  154.95    285.27     18.31     -0.06
      31  181.67    287.57     21.16     -0.18
      30  212.42    291.25     25.85     -0.28
      29  247.12    295.91     34.13     -0.88
      28  286.05    301.11     46.05     -1.46
      27  307.26    304.35     54.78     -2.19
      26  329.74    308.23     64.91     -2.34
      25  353.40    311.71     75.15     -2.41
      24  378.35    316.81     89.59     -3.16
      23  404.70    323.06    105.03     -2.94
      22  432.35    328.77    120.12     -2.86
      21  461.50    335.00    135.35     -2.60
      20  492.20    342.05    150.01     -2.09
      19  524.56    348.75    163.74     -1.83
      18  558.72    356.63    177.38     -1.42
      17  594.66    361.54    184.93     -0.62
      16  632.53    368.45    197.28     -1.21
      15  672.22    375.63    217.20     -2.71
      14  714.00    384.28    236.64     -2.18
      13  757.76    393.94    258.34     -2.32
      12  803.61    400.57    277.19     -2.25
      11  851.90    407.51    298.52     -2.52
      10  902.54    410.92    320.42     -3.08
       9  928.92    405.55    325.82     -3.45
       8  956.16    399.70    332.67     -3.93
       7  967.25    391.93    333.22     -6.33
       6  975.16    376.46    325.04     -7.77
       5  982.15    372.97    317.75      4.59
       4  989.16    374.02    361.97    -51.95
       3  996.35    388.44    369.44      8.15
       2 1002.32    391.43    370.40      2.87
       1 1011.40    403.10    372.56      8.85
