The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     912.0  0.0001505481  0.0001500938  0.0000012664  0.0000035267
     913.0  0.0001569813  0.0001565073  0.0000013375  0.0000036774
     914.0  0.0001625618  0.0001620705  0.0000013999  0.0000038081
     915.0  0.0001666163  0.0001661124  0.0000014463  0.0000039031
     916.0  0.0001686976  0.0001681868  0.0000014716  0.0000039519
     917.0  0.0001687647  0.0001682530  0.0000014750  0.0000039535
     918.0  0.0001670327  0.0001665254  0.0000014588  0.0000039129
     919.0  0.0001640991  0.0001635998  0.0000014292  0.0000038442
     920.0  0.0001607825  0.0001602922  0.0000013953  0.0000037665
     921.0  0.0001580749  0.0001575918  0.0000013678  0.0000037030
     922.0  0.0001568570  0.0001563767  0.0000013566  0.0000036745
     923.0  0.0001577765  0.0001572926  0.0000013690  0.0000036960
     924.0  0.0001610079  0.0001605134  0.0000014071  0.0000037717
     925.0  0.0001663250  0.0001658136  0.0000014688  0.0000038963
     926.0  0.0001731405  0.0001726076  0.0000015477  0.0000040560
     927.0  0.0001807221  0.0001801653  0.0000016359  0.0000042336
     928.0  0.0001883879  0.0001878071  0.0000017257  0.0000044131
     929.0  0.0001955889  0.0001949853  0.0000018110  0.0000045818
     930.0  0.0002019939  0.0002013700  0.0000018880  0.0000047319
     931.0  0.0002074212  0.0002067800  0.0000019543  0.0000048590
     932.0  0.0002117995  0.0002111439  0.0000020087  0.0000049616
     933.0  0.0002151071  0.0002144404  0.0000020507  0.0000050391
     934.0  0.0002173588  0.0002166842  0.0000020801  0.0000050918
     935.0  0.0002185894  0.0002179101  0.0000020969  0.0000051206
     936.0  0.0002188648  0.0002181836  0.0000021020  0.0000051271
     937.0  0.0002183224  0.0002176419  0.0000020969  0.0000051144
     938.0  0.0002170594  0.0002163817  0.0000020827  0.0000050848
     939.0  0.0002152878  0.0002146144  0.0000020621  0.0000050433
     940.0  0.0002130512  0.0002123835  0.0000020358  0.0000049909
     941.0  0.0002104839  0.0002098233  0.0000020054  0.0000049308
     942.0  0.0002075527  0.0002069001  0.0000019709  0.0000048621
     943.0  0.0002043400  0.0002036963  0.0000019335  0.0000047868
     944.0  0.0002009910  0.0002003566  0.0000018952  0.0000047084
     945.0  0.0001978288  0.0001972033  0.0000018602  0.0000046343
     946.0  0.0001953395  0.0001947207  0.0000018343  0.0000045760
     947.0  0.0001939341  0.0001933188  0.0000018220  0.0000045431
     948.0  0.0001939121  0.0001932958  0.0000018263  0.0000045425
     949.0  0.0001950979  0.0001944769  0.0000018446  0.0000045703
     950.0  0.0001971881  0.0001965594  0.0000018728  0.0000046193
     951.0  0.0001996007  0.0001989633  0.0000019040  0.0000046758
     952.0  0.0002021402  0.0002014939  0.0000019363  0.0000047353
     953.0  0.0002047808  0.0002041251  0.0000019702  0.0000047972
     954.0  0.0002079247  0.0002072579  0.0000020111  0.0000048708
     955.0  0.0002119496  0.0002112690  0.0000020642  0.0000049651
