Flux units are Wm-2/cm-1    
    wavn(cm-1) flxtoa_up     flxsfc_dn
      10.5     0.0007342     0.0008571
      11.5     0.0008860     0.0010265
      12.5     0.0009667     0.0012137
      13.5     0.0011842     0.0014109
      14.5     0.0012711     0.0016250
      15.5     0.0014861     0.0018531
      16.5     0.0016628     0.0020952
      17.5     0.0018154     0.0023520
      18.5     0.0018355     0.0026224
      19.5     0.0021967     0.0029058
      20.5     0.0024900     0.0032039
      21.5     0.0027989     0.0035161
      22.5     0.0030881     0.0038421
      23.5     0.0032759     0.0041818
      24.5     0.0033414     0.0045337
      25.5     0.0034794     0.0048987
      26.5     0.0041124     0.0052799
      27.5     0.0044074     0.0056721
      28.5     0.0047965     0.0060777
      29.5     0.0051341     0.0064954
      30.5     0.0052606     0.0069302
      31.5     0.0056959     0.0073709
      32.5     0.0055862     0.0078258
      33.5     0.0060059     0.0082980
      34.5     0.0065480     0.0087792
      35.5     0.0066592     0.0092716
      36.5     0.0066232     0.0097762
      37.5     0.0070306     0.0102953
      38.5     0.0073691     0.0108248
      39.5     0.0077864     0.0113716
      40.5     0.0081088     0.0119233
      41.5     0.0087705     0.0124927
      42.5     0.0095985     0.0130667
      43.5     0.0100421     0.0136546
      44.5     0.0103859     0.0142570
      45.5     0.0109902     0.0148673
      46.5     0.0108012     0.0154944
      47.5     0.0111642     0.0161269
      48.5     0.0120261     0.0167725
      49.5     0.0127997     0.0174273
      50.5     0.0131751     0.0180984
      51.5     0.0135136     0.0187778
      52.5     0.0137841     0.0194612
      53.5     0.0135279     0.0201617
      54.5     0.0139742     0.0208669
      55.5     0.0146298     0.0215979
      56.5     0.0145118     0.0223302
      57.5     0.0153303     0.0230629
      58.5     0.0159291     0.0238186
      59.5     0.0166638     0.0245796
      60.5     0.0172637     0.0253444
      61.5     0.0180218     0.0261290
      62.5     0.0178968     0.0269138
      63.5     0.0185467     0.0277196
      64.5     0.0192467     0.0285347
      65.5     0.0205863     0.0293490
      66.5     0.0212815     0.0301790
      67.5     0.0208704     0.0310211
      68.5     0.0212551     0.0318629
      69.5     0.0217684     0.0327188
      70.5     0.0230481     0.0335910
      71.5     0.0226225     0.0344623
      72.5     0.0229831     0.0353377
      73.5     0.0234150     0.0362360
      74.5     0.0242055     0.0371350
      75.5     0.0246516     0.0380375
      76.5     0.0259663     0.0389647
      77.5     0.0266673     0.0398965
      78.5     0.0264853     0.0408283
      79.5     0.0269287     0.0417584
      80.5     0.0276390     0.0427220
      81.5     0.0282520     0.0436855
      82.5     0.0290826     0.0446488
      83.5     0.0305839     0.0456135
      84.5     0.0315549     0.0465997
      85.5     0.0314587     0.0475969
      86.5     0.0316930     0.0485945
      87.5     0.0317434     0.0495918
      88.5     0.0326739     0.0506047
      89.5     0.0327361     0.0516351
      90.5     0.0340382     0.0526661
      91.5     0.0338359     0.0536962
      92.5     0.0353828     0.0547296
      93.5     0.0350151     0.0557903
      94.5     0.0367702     0.0568564
      95.5     0.0371173     0.0579217
      96.5     0.0379682     0.0589874
      97.5     0.0387487     0.0600526
      98.5     0.0384556     0.0611426
      99.5     0.0392778     0.0622395
     100.5     0.0404535     0.0633362
     101.5     0.0402008     0.0644331
     102.5     0.0420949     0.0655333
     103.5     0.0424152     0.0666508
     104.5     0.0427522     0.0677732
     105.5     0.0430906     0.0689204
     106.5     0.0441563     0.0700663
     107.5     0.0447020     0.0712118
     108.5     0.0470794     0.0723584
     109.5     0.0477922     0.0735044
     110.5     0.0462679     0.0746462
     111.5     0.0475664     0.0758105
     112.5     0.0498936     0.0769912
     113.5     0.0519272     0.0781716
     114.5     0.0530755     0.0793516
     115.5     0.0537699     0.0805308
     116.5     0.0528742     0.0817084
     117.5     0.0528524     0.0829102
     118.5     0.0532278     0.0841262
     119.5     0.0527915     0.0853416
     120.5     0.0533954     0.0865569
     121.5     0.0543703     0.0877727
     122.5     0.0539477     0.0889883
     123.5     0.0561900     0.0902026
     124.5     0.0576009     0.0914308
     125.5     0.0573827     0.0926757
     126.5     0.0579741     0.0939201
     127.5     0.0577753     0.0951654
     128.5     0.0591452     0.0964107
     129.5     0.0617237     0.0976598
     130.5     0.0616737     0.0989334
     131.5     0.0615599     0.1002064
     132.5     0.0624516     0.1014799
     133.5     0.0614542     0.1027540
     134.5     0.0648893     0.1040287
     135.5     0.0663003     0.1053023
     136.5     0.0683223     0.1065772
     137.5     0.0678294     0.1078500
     138.5     0.0663320     0.1091399
     139.5     0.0663764     0.1104488
     140.5     0.0666987     0.1117576
     141.5     0.0682335     0.1130668
     142.5     0.0727757     0.1143774
     143.5     0.0746842     0.1156873
     144.5     0.0751057     0.1169959
     145.5     0.0756395     0.1183050
     146.5     0.0753588     0.1196134
     147.5     0.0733469     0.1209246
     148.5     0.0723663     0.1222565
     149.5     0.0729472     0.1235915
     150.5     0.0764927     0.1249265
     151.5     0.0742576     0.1262620
     152.5     0.0747451     0.1275974
     153.5     0.0762257     0.1289321
     154.5     0.0784968     0.1302733
     155.5     0.0814987     0.1316401
     156.5     0.0803709     0.1330009
     157.5     0.0801783     0.1343626
     158.5     0.0799560     0.1357245
     159.5     0.0860345     0.1370874
     160.5     0.0870266     0.1384497
     161.5     0.0868385     0.1398122
     162.5     0.0909253     0.1411752
     163.5     0.0919095     0.1425379
     164.5     0.0929998     0.1438993
     165.5     0.0908361     0.1452586
     166.5     0.0854864     0.1466141
     167.5     0.0900852     0.1479803
     168.5     0.0889063     0.1493668
     169.5     0.0856650     0.1507526
     170.5     0.0899257     0.1521389
     171.5     0.0882481     0.1535262
     172.5     0.0910096     0.1549135
     173.5     0.0903405     0.1562992
     174.5     0.0942434     0.1576872
     175.5     0.0934812     0.1590732
     176.5     0.0926988     0.1604595
     177.5     0.0927526     0.1618458
     178.5     0.0948756     0.1632334
     179.5     0.1004331     0.1646252
     180.5     0.1012164     0.1660329
     181.5     0.0968795     0.1674364
     182.5     0.1052374     0.1688439
     183.5     0.1014039     0.1702477
     184.5     0.1086689     0.1716567
     185.5     0.1106119     0.1730612
     186.5     0.1083271     0.1744649
     187.5     0.1017976     0.1758667
     188.5     0.1015033     0.1772705
     189.5     0.1099375     0.1786788
     190.5     0.1150443     0.1800867
     191.5     0.1169382     0.1814920
     192.5     0.1156574     0.1828937
     193.5     0.1072893     0.1842947
     194.5     0.1085830     0.1856997
     195.5     0.1121806     0.1871053
     196.5     0.1171293     0.1885121
     197.5     0.1115523     0.1899149
     198.5     0.1175570     0.1913222
     199.5     0.1160605     0.1927397
     200.5     0.1103228     0.1941527
     201.5     0.1071503     0.1955656
     202.5     0.1167005     0.1969788
     203.5     0.1073968     0.1983932
     204.5     0.1129499     0.1998116
     205.5     0.1177611     0.2012315
     206.5     0.1182551     0.2026421
     207.5     0.1121061     0.2040508
     208.5     0.1142222     0.2054602
     209.5     0.1154398     0.2068722
     210.5     0.1203007     0.2082836
     211.5     0.1258825     0.2096954
     212.5     0.1232044     0.2111032
     213.5     0.1223069     0.2125137
     214.5     0.1178645     0.2139231
     215.5     0.1275411     0.2153379
     216.5     0.1355979     0.2167511
     217.5     0.1388289     0.2181647
     218.5     0.1390013     0.2195760
     219.5     0.1368868     0.2209838
     220.5     0.1299182     0.2223896
     221.5     0.1216530     0.2237961
     222.5     0.1250406     0.2252077
     223.5     0.1250791     0.2266171
     224.5     0.1309392     0.2280293
     225.5     0.1254894     0.2294387
     226.5     0.1235452     0.2308477
     227.5     0.1264288     0.2322581
     228.5     0.1234646     0.2336690
     229.5     0.1348072     0.2350799
     230.5     0.1386051     0.2364696
     231.5     0.1407779     0.2378550
     232.5     0.1457929     0.2392433
     233.5     0.1426547     0.2406280
     234.5     0.1554969     0.2420255
     235.5     0.1569260     0.2434122
     236.5     0.1595818     0.2448046
     237.5     0.1604188     0.2461905
     238.5     0.1617905     0.2475781
     239.5     0.1624100     0.2489636
     240.5     0.1625643     0.2503473
     241.5     0.1620207     0.2517295
     242.5     0.1586475     0.2531099
     243.5     0.1546645     0.2544879
     244.5     0.1384339     0.2558664
     245.5     0.1346423     0.2572514
     246.5     0.1400815     0.2586390
     247.5     0.1381147     0.2600228
     248.5     0.1362215     0.2614086
     249.5     0.1488118     0.2627961
     250.5     0.1553112     0.2641850
     251.5     0.1518565     0.2655699
     252.5     0.1466974     0.2669532
     253.5     0.1424005     0.2683363
     254.5     0.1387341     0.2697285
     255.5     0.1506123     0.2710969
     256.5     0.1564258     0.2724434
     257.5     0.1660008     0.2737923
     258.5     0.1728040     0.2751441
     259.5     0.1765021     0.2764953
     260.5     0.1797816     0.2778453
     261.5     0.1817210     0.2791930
