The columns below contain (from left to right):
Wavenumber, spectral surface albedo, spectral surface albedo weighted by 
the calculated spectral total downwelling SW flux at the surface, and the 
Spectral Solar Function (spectral irradiance) a la Kurucz incident at
TOA (no solar zenith or Earth-Sun distance adjustment --same in all files)
    wvn(cm-1)  sfcalb      sfcalb_w  SSF(mWm-2/cm-1)
     820.0     0.02332     0.00005    1.65699005
     821.0     0.02332     0.00005    1.66102004
     822.0     0.02332     0.00005    1.66494000
     823.0     0.02332     0.00005    1.66891003
     824.0     0.02332     0.00005    1.67293000
     825.0     0.02332     0.00005    1.67691004
     826.0     0.02332     0.00005    1.68087995
     827.0     0.02332     0.00005    1.68482995
     828.0     0.02332     0.00005    1.68850994
     829.0     0.02332     0.00005    1.69274998
     830.0     0.02332     0.00006    1.69676006
     831.0     0.02332     0.00006    1.70084000
     832.0     0.02332     0.00006    1.70483994
     833.0     0.02332     0.00006    1.70880997
     834.0     0.02332     0.00006    1.71229005
     835.0     0.02332     0.00006    1.71677005
     836.0     0.02332     0.00006    1.72068000
     837.0     0.02332     0.00006    1.72486997
     838.0     0.02332     0.00006    1.72885001
     839.0     0.02332     0.00006    1.73277998
     840.0     0.02332     0.00006    1.73687005
     841.0     0.02332     0.00006    1.74083996
     842.0     0.02332     0.00006    1.74515998
     843.0     0.02332     0.00006    1.74895000
     844.0     0.02332     0.00007    1.75328004
     845.0     0.02332     0.00007    1.75730002
     846.0     0.02332     0.00007    1.76136994
     847.0     0.02332     0.00006    1.76543999
     848.0     0.02332     0.00006    1.76953995
     849.0     0.02332     0.00006    1.77340996
     850.0     0.02332     0.00005    1.77754998
     851.0     0.02332     0.00005    1.78176999
     852.0     0.02332     0.00005    1.78578997
     853.0     0.02332     0.00005    1.78994000
     854.0     0.02332     0.00005    1.79402995
     855.0     0.02332     0.00005    1.79820001
     856.0     0.02332     0.00006    1.80232000
     857.0     0.02332     0.00007    1.80610001
     858.0     0.02332     0.00007    1.81048000
     859.0     0.02332     0.00008    1.81463003
     860.0     0.02332     0.00008    1.81868994
     861.0     0.02332     0.00008    1.82280004
     862.0     0.02332     0.00008    1.82707000
     863.0     0.02332     0.00008    1.83115995
     864.0     0.02332     0.00008    1.83536994
     865.0     0.02332     0.00008    1.83921003
     866.0     0.02332     0.00008    1.84311998
     867.0     0.02332     0.00008    1.84764004
     868.0     0.02332     0.00009    1.85194004
     869.0     0.02332     0.00009    1.85618997
     870.0     0.02332     0.00009    1.86034000
     871.0     0.02332     0.00009    1.86459005
     872.0     0.02332     0.00009    1.86865997
     873.0     0.02332     0.00009    1.87241006
     874.0     0.02332     0.00009    1.87709999
     875.0     0.02332     0.00009    1.88129997
     876.0     0.02332     0.00009    1.88552999
     877.0     0.02332     0.00009    1.88952005
     878.0     0.02332     0.00009    1.89385998
     879.0     0.02332     0.00009    1.89784002
     880.0     0.02332     0.00009    1.90221000
     881.0     0.02332     0.00009    1.90610003
     882.0     0.02332     0.00009    1.91069996
     883.0     0.02332     0.00008    1.91492999
     884.0     0.02332     0.00008    1.91474998
     885.0     0.02332     0.00008    1.92271996
     886.0     0.02332     0.00008    1.92763996
     887.0     0.02332     0.00009    1.93199003
     888.0     0.02332     0.00009    1.93627000
     889.0     0.02332     0.00009    1.94033003
     890.0     0.02332     0.00010    1.94474995
     891.0     0.02332     0.00010    1.94891000
     892.0     0.02332     0.00011    1.95325005
