           z(km)    p(mb)    T(K)
       1   0.014  1031.73   266.55
       2   0.066  1024.82   265.91
       3   0.118  1017.90   265.45
       4   0.181  1009.80   265.15
       5   0.244  1001.70   265.85
       6   0.307   993.50   266.00
       7   0.370   985.55   267.00
       8   0.433   977.65   267.80
       9   0.496   969.82   267.89
      10   0.622   954.43   267.05
      11   0.748   939.13   266.75
      12   0.874   924.09   266.65
      13   1.000   909.28   265.85
      14   1.300   874.81   264.74
      15   1.600   841.54   264.15
      16   2.000   799.04   262.39
      17   2.500   748.57   261.05
      18   3.000   701.20   261.49
      19   3.500   656.90   261.45
      20   4.000   615.29   259.84
      21   4.500   576.03   258.05
      22   5.000   538.94   256.04
      23   5.500   504.04   253.42
      24   6.000   471.10   251.45
      25   6.500   440.00   247.75
      26   7.000   410.43   243.81
      27   7.500   382.43   239.95
      28   8.000   355.95   236.05
      29   8.500   330.94   232.57
      30   9.000   307.28   228.39
      31   9.500   285.03   224.45
      32  10.000   263.97   220.78
      33  11.000   225.63   214.75
      34  12.000   192.17   214.11
      35  13.000   164.17   221.24
      36  14.000   140.80   221.95
      37  15.000   120.62   221.74
      38  16.500    95.65   219.98
      39  18.000    75.83   219.95
      40  19.500    59.99   219.25
      41  21.000    47.52   219.73
      42  22.500    37.61   221.06
      43  24.000    30.36   222.41
      44  25.500    25.81   228.73
      45  27.000    20.69   230.42
      46  28.500    16.63   232.52
      47  30.000    13.40   235.10
      48  32.000    10.09   238.88
      49  34.000     7.60   244.18
      50  36.000     5.77   250.14
      51  38.000     4.42   256.10
      52  40.000     3.40   262.10
      53  42.000     2.64   268.18
      54  44.000     2.06   272.24
      55  46.000     1.61   274.83
      56  48.000     1.26   276.53
      57  50.000     0.99   277.20
      58  52.000     0.77   276.80
      59  54.000     0.61   275.24
      60  56.000     0.48   272.50
      61  58.000     0.37   268.42
      62  60.000     0.29   262.70
      63  62.000     0.22   254.25
      64  64.000     0.17   244.68
      65  66.000     0.13   235.08
      66  68.000     0.10   225.84
