The first HR value is a filler; the 2nd HR corresponds to the layer
between levels 66 and 65, the 3rd HR corresponds to the layer between
levels 65 and 64, etc.
     level  p(mb) flxup(W/m2) flxdn(W/m2) HR(K/day)
      66    0.10    230.51      0.00      0.00
      65    0.13    230.53      0.08    -14.62
      64    0.17    230.56      0.14     -6.63
      63    0.22    230.60      0.22     -7.40
      62    0.29    230.63      0.33     -9.03
      61    0.37    230.65      0.45    -10.46
      60    0.48    230.67      0.60    -11.12
      59    0.61    230.66      0.78    -11.52
      58    0.77    230.65      0.99    -11.68
      57    0.99    230.60      1.24    -11.63
      56    1.26    230.53      1.54    -11.35
      55    1.61    230.41      1.88    -10.97
      54    2.06    230.25      2.27    -10.42
      53    2.64    230.03      2.71     -9.58
      52    3.40    229.75      3.16     -8.15
      51    4.42    229.44      3.65     -6.55
      50    5.77    229.11      4.18     -5.39
      49    7.60    228.76      4.77     -4.34
      48   10.09    228.43      5.46     -3.48
      47   13.40    228.12      6.32     -2.97
      46   16.63    227.89      7.09     -2.63
      45   20.69    227.65      8.00     -2.39
      44   25.81    227.34      9.07     -2.28
      43   30.36    226.95     10.21     -2.83
      42   37.61    226.97     11.97     -2.03
      41   47.52    227.07     13.70     -1.38
      40   59.99    227.27     15.57     -1.13
      39   75.83    227.84     17.45     -0.69
      38   95.65    228.40     19.80     -0.76
      37  120.62    229.19     22.55     -0.66
      36  140.80    229.65     24.38     -0.58
      35  164.17    229.66     26.18     -0.64
      34  192.17    229.64     26.82     -0.20
      33  225.63    232.08     29.51     -0.06
      32  263.97    236.06     35.59     -0.46
      31  285.03    238.49     39.95     -0.77
      30  307.28    241.19     45.61     -1.12
      29  330.94    244.17     52.70     -1.47
      28  355.95    247.85     62.25     -1.98
      27  382.43    253.08     72.79     -1.69
      26  410.43    256.61     78.39     -0.62
      25  440.00    260.18     85.28     -0.95
      24  471.10    263.92     94.82     -1.58
      23  504.04    267.16    103.32     -1.35
      22  538.94    269.80    109.59     -0.88
      21  576.03    272.45    117.51     -1.20
      20  615.29    274.39    125.99     -1.41
      19  656.90    277.18    143.84     -3.06
      18  701.20    277.55    147.20     -0.57
      17  748.57    277.81    149.58     -0.38
      16  799.04    280.18    154.01     -0.34
      15  841.54    282.60    161.14     -0.94
      14  874.81    283.78    167.25     -1.25
      13  909.28    285.83    174.73     -1.33
      12  924.09    286.73    178.29     -1.52
      11  939.13    286.92    181.10     -1.47
      10  954.43    287.34    183.71     -1.21
       9  969.82    287.66    186.78     -1.51
       8  977.65    287.12    187.89     -1.78
       7  985.55    285.92    188.34     -1.76
       6  993.50    285.11    188.06     -0.56
       5 1001.70    284.78    188.44     -0.74
       4 1009.80    284.52    188.47     -0.31
       3 1017.90    285.19    189.45     -0.31
       2 1024.82    285.89    190.73     -0.71
       1 1031.73    286.58    192.37     -1.15
