The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  642.77        487.61        422.86        430.52
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     820.0  0.0008875105  0.0008854501  0.0000082523  0.0000083300
     821.0  0.0008912403  0.0008891670  0.0000082994  0.0000083650
     822.0  0.0008932522  0.0008911712  0.0000083171  0.0000083839
     823.0  0.0008936138  0.0008915287  0.0000083090  0.0000083873
     824.0  0.0008932336  0.0008911469  0.0000082888  0.0000083838
     825.0  0.0008930133  0.0008909231  0.0000082712  0.0000083817
     826.0  0.0008935449  0.0008914517  0.0000082681  0.0000083867
     827.0  0.0008958590  0.0008937552  0.0000082936  0.0000084084
     828.0  0.0008997311  0.0008976149  0.0000083472  0.0000084447
     829.0  0.0009053184  0.0009031850  0.0000084284  0.0000084972
     830.0  0.0009117944  0.0009096406  0.0000085246  0.0000085580
     831.0  0.0009183167  0.0009161434  0.0000086219  0.0000086192
     832.0  0.0009243538  0.0009221614  0.0000087091  0.0000086758
     833.0  0.0009288494  0.0009266415  0.0000087721  0.0000087180
     834.0  0.0009320559  0.0009298380  0.0000088110  0.0000087481
     835.0  0.0009334207  0.0009311949  0.0000088207  0.0000087609
     836.0  0.0009336499  0.0009314205  0.0000088100  0.0000087631
     837.0  0.0009330679  0.0009308364  0.0000087856  0.0000087576
     838.0  0.0009323129  0.0009300802  0.0000087589  0.0000087505
     839.0  0.0009324156  0.0009301803  0.0000087446  0.0000087515
     840.0  0.0009334221  0.0009311795  0.0000087474  0.0000087609
     841.0  0.0009360685  0.0009338169  0.0000087758  0.0000087858
     842.0  0.0009394841  0.0009372191  0.0000088198  0.0000088178
     843.0  0.0009432673  0.0009409895  0.0000088706  0.0000088534
     844.0  0.0009462236  0.0009439343  0.0000089100  0.0000088811
     845.0  0.0009472246  0.0009449285  0.0000089205  0.0000088905
     846.0  0.0009458881  0.0009435928  0.0000088935  0.0000088780
     847.0  0.0009415388  0.0009392520  0.0000088209  0.0000088371
     848.0  0.0009351173  0.0009328435  0.0000087142  0.0000087769
     849.0  0.0009272699  0.0009250130  0.0000085852  0.0000087032
     850.0  0.0009197229  0.0009174820  0.0000084594  0.0000086324
     851.0  0.0009142506  0.0009120210  0.0000083633  0.0000085810
     852.0  0.0009121118  0.0009098850  0.0000083181  0.0000085609
     853.0  0.0009147079  0.0009124706  0.0000083427  0.0000085853
     854.0  0.0009216397  0.0009193799  0.0000084346  0.0000086504
     855.0  0.0009324835  0.0009301922  0.0000085856  0.0000087521
     856.0  0.0009455059  0.0009431764  0.0000087710  0.0000088744
     857.0  0.0009588923  0.0009565233  0.0000089634  0.0000090000
     858.0  0.0009713481  0.0009689431  0.0000091409  0.0000091169
     859.0  0.0009813348  0.0009788993  0.0000092823  0.0000092106
     860.0  0.0009889742  0.0009865153  0.0000093853  0.0000092823
     861.0  0.0009938793  0.0009914045  0.0000094469  0.0000093284
     862.0  0.0009968883  0.0009944012  0.0000094777  0.0000093566
     863.0  0.0009985805  0.0009960850  0.0000094880  0.0000093725
     864.0  0.0009993992  0.0009968994  0.0000094862  0.0000093802
     865.0  0.0010002860  0.0009977799  0.0000094852  0.0000093885
     866.0  0.0010008879  0.0009983759  0.0000094833  0.0000093942
     867.0  0.0010019520  0.0009994329  0.0000094882  0.0000094042
     868.0  0.0010029320  0.0010004070  0.0000094941  0.0000094134
     869.0  0.0010042830  0.0010017511  0.0000095054  0.0000094260
     870.0  0.0010060950  0.0010035530  0.0000095234  0.0000094430
     871.0  0.0010083780  0.0010058261  0.0000095489  0.0000094645
     872.0  0.0010116220  0.0010090580  0.0000095868  0.0000094949
     873.0  0.0010150980  0.0010125210  0.0000096288  0.0000095276
     874.0  0.0010189590  0.0010163670  0.0000096737  0.0000095638
     875.0  0.0010223360  0.0010197320  0.0000097104  0.0000095955
     876.0  0.0010250770  0.0010224610  0.0000097357  0.0000096212
     877.0  0.0010271970  0.0010245719  0.0000097497  0.0000096411
     878.0  0.0010284780  0.0010258460  0.0000097516  0.0000096531
     879.0  0.0010296210  0.0010269810  0.0000097503  0.0000096639
     880.0  0.0010302711  0.0010276260  0.0000097437  0.0000096700
     881.0  0.0010308460  0.0010281981  0.0000097364  0.0000096754
     882.0  0.0010311590  0.0010285040  0.0000097263  0.0000096783
     883.0  0.0010311269  0.0010284689  0.0000097128  0.0000096780
     884.0  0.0010312831  0.0010286201  0.0000097015  0.0000096795
     885.0  0.0010315320  0.0010288660  0.0000096939  0.0000096818
     886.0  0.0010328820  0.0010302070  0.0000097023  0.0000096945
     887.0  0.0010354250  0.0010327400  0.0000097308  0.0000097183
     888.0  0.0010395560  0.0010368540  0.0000097847  0.0000097571
     889.0  0.0010453050  0.0010425830  0.0000098642  0.0000098111
     890.0  0.0010518940  0.0010491500  0.0000099594  0.0000098729
     891.0  0.0010592330  0.0010564650  0.0000100656  0.0000099418
     892.0  0.0010661570  0.0010633640  0.0000101674  0.0000100068
     893.0  0.0010726150  0.0010698000  0.0000102608  0.0000100674
     894.0  0.0010781630  0.0010753290  0.0000103395  0.0000101195
     895.0  0.0010826890  0.0010798380  0.0000104016  0.0000101619
     896.0  0.0010866870  0.0010838200  0.0000104530  0.0000101995
     897.0  0.0010897400  0.0010868610  0.0000104905  0.0000102281
     898.0  0.0010926990  0.0010898070  0.0000105236  0.0000102559
     899.0  0.0010949650  0.0010920630  0.0000105470  0.0000102772
     900.0  0.0010969921  0.0010940790  0.0000105649  0.0000102962
     901.0  0.0010984120  0.0010954910  0.0000105727  0.0000103095
     902.0  0.0010989750  0.0010960490  0.0000105670  0.0000103148
     903.0  0.0010988821  0.0010959520  0.0000105488  0.0000103139
     904.0  0.0010975969  0.0010946660  0.0000105136  0.0000103019
     905.0  0.0010959540  0.0010930250  0.0000104708  0.0000102864
     906.0  0.0010939300  0.0010910020  0.0000104242  0.0000102674
