The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  641.30        486.19        422.72        430.42
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     820.0  0.0008765490  0.0008745146  0.0000080599  0.0000082272
     821.0  0.0008814883  0.0008794390  0.0000081252  0.0000082735
     822.0  0.0008845588  0.0008824987  0.0000081594  0.0000083023
     823.0  0.0008858094  0.0008837438  0.0000081655  0.0000083141
     824.0  0.0008861312  0.0008840610  0.0000081568  0.0000083171
     825.0  0.0008864459  0.0008843720  0.0000081481  0.0000083200
     826.0  0.0008873904  0.0008853115  0.0000081520  0.0000083289
     827.0  0.0008900648  0.0008879761  0.0000081836  0.0000083540
     828.0  0.0008943196  0.0008922167  0.0000082438  0.0000083939
     829.0  0.0009003566  0.0008982350  0.0000083330  0.0000084506
     830.0  0.0009073680  0.0009052255  0.0000084388  0.0000085164
     831.0  0.0009144797  0.0009123150  0.0000085469  0.0000085832
     832.0  0.0009211106  0.0009189263  0.0000086451  0.0000086454
     833.0  0.0009261478  0.0009239471  0.0000087182  0.0000086927
     834.0  0.0009298078  0.0009275947  0.0000087657  0.0000087270
     835.0  0.0009315214  0.0009293008  0.0000087820  0.0000087431
     836.0  0.0009320031  0.0009297782  0.0000087763  0.0000087476
     837.0  0.0009315968  0.0009293691  0.0000087555  0.0000087438
     838.0  0.0009309613  0.0009287323  0.0000087312  0.0000087378
     839.0  0.0009311453  0.0009289132  0.0000087186  0.0000087396
     840.0  0.0009322113  0.0009299720  0.0000087226  0.0000087496
     841.0  0.0009349029  0.0009326534  0.0000087520  0.0000087749
     842.0  0.0009383574  0.0009360947  0.0000087967  0.0000088073
     843.0  0.0009421770  0.0009399011  0.0000088482  0.0000088431
     844.0  0.0009451678  0.0009428809  0.0000088882  0.0000088712
     845.0  0.0009462058  0.0009439127  0.0000088995  0.0000088809
     846.0  0.0009449087  0.0009426158  0.0000088733  0.0000088688
     847.0  0.0009406037  0.0009383181  0.0000088017  0.0000088284
     848.0  0.0009342280  0.0009319560  0.0000086960  0.0000087685
     849.0  0.0009264289  0.0009241738  0.0000085682  0.0000086953
     850.0  0.0009189296  0.0009166910  0.0000084436  0.0000086249
     851.0  0.0009135025  0.0009112749  0.0000083486  0.0000085740
     852.0  0.0009114060  0.0009091805  0.0000083042  0.0000085543
     853.0  0.0009140371  0.0009117998  0.0000083296  0.0000085790
     854.0  0.0009209941  0.0009187364  0.0000084219  0.0000086443
     855.0  0.0009318531  0.0009295633  0.0000085732  0.0000087462
     856.0  0.0009448778  0.0009425507  0.0000087584  0.0000088685
     857.0  0.0009582523  0.0009558856  0.0000089504  0.0000089940
     858.0  0.0009706725  0.0009682695  0.0000091270  0.0000091106
     859.0  0.0009806011  0.0009781672  0.0000092670  0.0000092038
     860.0  0.0009881605  0.0009857031  0.0000093683  0.0000092747
     861.0  0.0009929723  0.0009904989  0.0000094279  0.0000093199
     862.0  0.0009958905  0.0009934055  0.0000094568  0.0000093473
     863.0  0.0009975162  0.0009950240  0.0000094657  0.0000093625
     864.0  0.0009983132  0.0009958154  0.0000094634  0.0000093700
     865.0  0.0009992266  0.0009967224  0.0000094630  0.0000093786
     866.0  0.0009999025  0.0009973929  0.0000094627  0.0000093849
     867.0  0.0010010710  0.0009985549  0.0000094698  0.0000093959
     868.0  0.0010021670  0.0009996434  0.0000094781  0.0000094062
     869.0  0.0010036210  0.0010010900  0.0000094916  0.0000094198
     870.0  0.0010055130  0.0010029740  0.0000095112  0.0000094376
     871.0  0.0010078500  0.0010053010  0.0000095379  0.0000094595
     872.0  0.0010111250  0.0010085610  0.0000095764  0.0000094903
     873.0  0.0010146110  0.0010120349  0.0000096185  0.0000095230
     874.0  0.0010184700  0.0010158790  0.0000096634  0.0000095592
