The columns below contain (from left to right):
Wavenumber, spectral surface albedo, spectral surface albedo weighted by 
the calculated spectral total downwelling SW flux at the surface, and the 
Spectral Solar Function (spectral irradiance) a la Kurucz incident at
TOA (no solar zenith or Earth-Sun distance adjustment --same in all files)
    wvn(cm-1)  sfcalb      sfcalb_w  SSF(mWm-2/cm-1)
     964.0     0.00937     0.00027    2.27224994
     965.0     0.00937     0.00027    2.27688003
     966.0     0.00937     0.00026    2.28148007
     967.0     0.00937     0.00026    2.28609991
     968.0     0.00937     0.00026    2.29035997
     969.0     0.00937     0.00026    2.29482007
     970.0     0.00937     0.00026    2.29996991
     971.0     0.00937     0.00026    2.30429006
     972.0     0.00937     0.00026    2.30897999
     973.0     0.00937     0.00026    2.31383991
     974.0     0.00937     0.00026    2.31835008
     975.0     0.00937     0.00026    2.32287002
     976.0     0.00937     0.00026    2.32729006
     977.0     0.00937     0.00026    2.33209991
     978.0     0.00937     0.00026    2.33697009
     979.0     0.00937     0.00026    2.34167004
     980.0     0.00937     0.00026    2.34623003
     981.0     0.00937     0.00027    2.35054994
     982.0     0.00937     0.00027    2.35544991
     983.0     0.00937     0.00027    2.36026001
     984.0     0.00937     0.00027    2.36461997
     985.0     0.00937     0.00027    2.36965990
     986.0     0.00937     0.00027    2.37430000
     987.0     0.00937     0.00027    2.37891006
     988.0     0.00937     0.00027    2.38368011
     989.0     0.00937     0.00027    2.38821006
     990.0     0.00937     0.00027    2.39209008
     991.0     0.00937     0.00027    2.39786005
     992.0     0.00937     0.00027    2.40247011
     993.0     0.00937     0.00026    2.40687990
     994.0     0.00937     0.00026    2.41191006
     995.0     0.00937     0.00026    2.41668010
     996.0     0.00937     0.00025    2.42138004
     997.0     0.00937     0.00025    2.42615008
     998.0     0.00937     0.00024    2.43086004
     999.0     0.00937     0.00024    2.43560004
    1000.0     0.00937     0.00023    2.43880010
    1001.0     0.00937     0.00022    2.44455004
    1002.0     0.00937     0.00022    2.44964004
    1003.0     0.00937     0.00021    2.45296001
    1004.0     0.00937     0.00020    2.45793009
    1005.0     0.00937     0.00019    2.46407008
    1006.0     0.00937     0.00019    2.46819997
    1007.0     0.00937     0.00018    2.47309995
    1008.0     0.00937     0.00017    2.47780991
    1009.0     0.00937     0.00016    2.48310995
    1010.0     0.00937     0.00015    2.48801994
    1011.0     0.00937     0.00015    2.49282002
    1012.0     0.00937     0.00014    2.49751997
    1013.0     0.00937     0.00013    2.50196004
    1014.0     0.00937     0.00012    2.50698996
    1015.0     0.00937     0.00012    2.51192999
    1016.0     0.00937     0.00011    2.51684999
    1017.0     0.00937     0.00011    2.52151990
    1018.0     0.00937     0.00010    2.52628994
    1019.0     0.00937     0.00009    2.52994990
    1020.0     0.00937     0.00009    2.53595996
    1021.0     0.00937     0.00009    2.53593993
    1022.0     0.00937     0.00008    2.54504991
    1023.0     0.00937     0.00008    2.55013990
    1024.0     0.00937     0.00008    2.55544996
    1025.0     0.00937     0.00008    2.55956006
    1026.0     0.00937     0.00008    2.55967999
    1027.0     0.00937     0.00008    2.56999993
    1028.0     0.00937     0.00007    2.56770992
    1029.0     0.00937     0.00007    2.57974005
    1030.0     0.00937     0.00007    2.58423996
    1031.0     0.00937     0.00007    2.58944988
    1032.0     0.00937     0.00007    2.59418011
    1033.0     0.00937     0.00006    2.59892988
    1034.0     0.00937     0.00006    2.60372996
    1035.0     0.00937     0.00006    2.60903001
    1036.0     0.00937     0.00006    2.61381006
    1037.0     0.00937     0.00006    2.61862993
    1038.0     0.00937     0.00006    2.62368011
    1039.0     0.00937     0.00007    2.62755990
    1040.0     0.00937     0.00008    2.63323998
    1041.0     0.00937     0.00009    2.63850999
    1042.0     0.00937     0.00010    2.64335990
    1043.0     0.00937     0.00011    2.64812994
    1044.0     0.00937     0.00011    2.65323997
    1045.0     0.00937     0.00011    2.65811992
    1046.0     0.00937     0.00010    2.66301990
    1047.0     0.00937     0.00009    2.66771007
    1048.0     0.00937     0.00007    2.67285991
    1049.0     0.00937     0.00006    2.67775011
    1050.0     0.00937     0.00005    2.67913008
    1051.0     0.00937     0.00005    2.68762994
    1052.0     0.00937     0.00004    2.69259000
    1053.0     0.00937     0.00004    2.69605994
    1054.0     0.00937     0.00004    2.70262003
    1055.0     0.00937     0.00004    2.70743990
    1056.0     0.00937     0.00004    2.71153998
    1057.0     0.00937     0.00005    2.71720004
    1058.0     0.00937     0.00005    2.72269011
    1059.0     0.00937     0.00006    2.72751999
    1060.0     0.00937     0.00007    2.73236990
    1061.0     0.00937     0.00009    2.73763990
    1062.0     0.00937     0.00010    2.74237990
    1063.0     0.00937     0.00012    2.74728990
    1064.0     0.00937     0.00014    2.75212002
    1065.0     0.00937     0.00016    2.75662994
    1066.0     0.00937     0.00018    2.76223993
    1067.0     0.00937     0.00020    2.76754999
    1068.0     0.00937     0.00022    2.77267003
    1069.0     0.00937     0.00023    2.77622008
    1070.0     0.00937     0.00025    2.78169990
    1071.0     0.00937     0.00026    2.78806996
    1072.0     0.00937     0.00026    2.79290009
    1073.0     0.00937     0.00027    2.79805994
    1074.0     0.00937     0.00027    2.80324006
    1075.0     0.00937     0.00027    2.80815005
    1076.0     0.00937     0.00028    2.81328011
    1077.0     0.00937     0.00028    2.81771994
    1078.0     0.00937     0.00028    2.82312989
    1079.0     0.00937     0.00028    2.82838988
    1080.0     0.00937     0.00029    2.83360004
    1081.0     0.00937     0.00029    2.83811998
    1082.0     0.00937     0.00029    2.84344006
    1083.0     0.00937     0.00030    2.84898996
    1084.0     0.00937     0.00030    2.85396004
    1085.0     0.00937     0.00030    2.85911012
    1086.0     0.00937     0.00031    2.86408997
    1087.0     0.00937     0.00031    2.86934996
    1088.0     0.00937     0.00031    2.87450004
    1089.0     0.00937     0.00032    2.87949991
    1090.0     0.00937     0.00032    2.88282990
    1091.0     0.00937     0.00033    2.88845992
    1092.0     0.00937     0.00033    2.89366007
    1093.0     0.00937     0.00033    2.89982009
    1094.0     0.00937     0.00034    2.90123010
    1095.0     0.00937     0.00034    2.90680003
    1096.0     0.00937     0.00034    2.91446996
    1097.0     0.00937     0.00034    2.91781998
    1098.0     0.00937     0.00034    2.92574000
    1099.0     0.00937     0.00034    2.93039989
    1100.0     0.00937     0.00034    2.92703009
    1101.0     0.00937     0.00034    2.94021010
    1102.0     0.00937     0.00034    2.94635010
    1103.0     0.00937     0.00034    2.95176005
    1104.0     0.00937     0.00034    2.95666003
    1105.0     0.00937     0.00034    2.96208000
    1106.0     0.00937     0.00034    2.96345997
    1107.0     0.00937     0.00034    2.96933007
    1108.0     0.00937     0.00034    2.97617006
    1109.0     0.00937     0.00034    2.98270011
    1110.0     0.00937     0.00034    2.98748994
    1111.0     0.00937     0.00035    2.99153996
    1112.0     0.00937     0.00035    2.99659991
    1113.0     0.00937     0.00035    2.99697995
    1114.0     0.00937     0.00035    3.00779009
    1115.0     0.00937     0.00035    3.00919008
    1116.0     0.00937     0.00035    3.01865005
    1117.0     0.00937     0.00035    3.02347994
    1118.0     0.00937     0.00035    3.02762008
    1119.0     0.00937     0.00035    3.03249002
    1120.0     0.00937     0.00034    3.04058003
    1121.0     0.00937     0.00034    3.04580998
    1122.0     0.00937     0.00034    3.05097008
    1123.0     0.00937     0.00035    3.05552006
    1124.0     0.00937     0.00035    3.06023002
    1125.0     0.00937     0.00035    3.06264997
    1126.0     0.00937     0.00036    3.06398010
    1127.0     0.00937     0.00036    3.06584001
    1128.0     0.00937     0.00036    3.08072996
    1129.0     0.00937     0.00036    3.08769011
    1130.0     0.00937     0.00036    3.09283996
    1131.0     0.00937     0.00035    3.09838009
    1132.0     0.00937     0.00035    3.10391998
    1133.0     0.00937     0.00034    3.10927010
    1134.0     0.00937     0.00034    3.11283994
    1135.0     0.00937     0.00033    3.11232996
    1136.0     0.00937     0.00033    3.12266994
    1137.0     0.00937     0.00033    3.12983990
    1138.0     0.00937     0.00034    3.13544011
    1139.0     0.00937     0.00034    3.14063001
    1140.0     0.00937     0.00035    3.14496994
    1141.0     0.00937     0.00036    3.14683008
    1142.0     0.00937     0.00036    3.15059996
    1143.0     0.00937     0.00036    3.16108990
    1144.0     0.00937     0.00036    3.16601992
    1145.0     0.00937     0.00036    3.17285991
    1146.0     0.00937     0.00036    3.17860007
    1147.0     0.00937     0.00035    3.18396997
    1148.0     0.00937     0.00035    3.18917990
    1149.0     0.00937     0.00035    3.19410992
    1150.0     0.00937     0.00034    3.20014000
    1151.0     0.00937     0.00034    3.20530009
    1152.0     0.00937     0.00034    3.21034002
    1153.0     0.00937     0.00035    3.21581006
    1154.0     0.00937     0.00035    3.22106004
    1155.0     0.00937     0.00036    3.22642994
    1156.0     0.00937     0.00036    3.23210001
    1157.0     0.00937     0.00036    3.23726010
    1158.0     0.00937     0.00037    3.24046993
    1159.0     0.00937     0.00037    3.24885988
    1160.0     0.00937     0.00037    3.25338006
    1161.0     0.00937     0.00037    3.25974989
    1162.0     0.00937     0.00036    3.26258993
    1163.0     0.00937     0.00036    3.26958990
    1164.0     0.00937     0.00036    3.27587008
    1165.0     0.00937     0.00036    3.28126001
    1166.0     0.00937     0.00036    3.28646994
    1167.0     0.00937     0.00036    3.28857994
    1168.0     0.00937     0.00036    3.29796004
    1169.0     0.00937     0.00036    3.30307007
    1170.0     0.00937     0.00036    3.30882001
    1171.0     0.00937     0.00035    3.31203008
    1172.0     0.00937     0.00034    3.31794000
    1173.0     0.00937     0.00034    3.32453990
    1174.0     0.00937     0.00033    3.33027005
    1175.0     0.00937     0.00033    3.33572006
    1176.0     0.00937     0.00033    3.34123993
    1177.0     0.00937     0.00034    3.34636998
    1178.0     0.00937     0.00035    3.35072994
    1179.0     0.00937     0.00036    3.35806990
    1180.0     0.00937     0.00036    3.36329007
    1181.0     0.00937     0.00036    3.36852002
    1182.0     0.00937     0.00036    3.37228990
    1183.0     0.00937     0.00036    3.37963009
    1184.0     0.00937     0.00036    3.38555002
    1185.0     0.00937     0.00035    3.39013004
    1186.0     0.00937     0.00035    3.39548993
    1187.0     0.00937     0.00035    3.40219998
    1188.0     0.00937     0.00035    3.40575004
    1189.0     0.00937     0.00036    3.41332006
    1190.0     0.00937     0.00036    3.41892004
    1191.0     0.00937     0.00037    3.42177010
    1192.0     0.00937     0.00038    3.42974997
    1193.0     0.00937     0.00038    3.42876005
    1194.0     0.00937     0.00038    3.44054008
    1195.0     0.00937     0.00038    3.44590998
    1196.0     0.00937     0.00038    3.45216990
    1197.0     0.00937     0.00038    3.45673990
    1198.0     0.00937     0.00038    3.45625997
    1199.0     0.00937     0.00038    3.46253991
    1200.0     0.00937     0.00039    3.47023010
    1201.0     0.00937     0.00039    3.47970009
    1202.0     0.00937     0.00040    3.48525000
    1203.0     0.00937     0.00040    3.48868990
    1204.0     0.00937     0.00040    3.49643993
    1205.0     0.00937     0.00040    3.50223994
    1206.0     0.00937     0.00040    3.50841999
    1207.0     0.00937     0.00039    3.51378989
    1208.0     0.00937     0.00038    3.51941991
    1209.0     0.00937     0.00037    3.52418995
    1210.0     0.00937     0.00035    3.53078008
    1211.0     0.00937     0.00034    3.53621006
    1212.0     0.00937     0.00034    3.54082990
    1213.0     0.00937     0.00034    3.54453993
    1214.0     0.00937     0.00034    3.55123997
    1215.0     0.00937     0.00034    3.55857992
    1216.0     0.00937     0.00034    3.56475997
    1217.0     0.00937     0.00034    3.57014990
    1218.0     0.00937     0.00034    3.57588005
    1219.0     0.00937     0.00033    3.58108997
    1220.0     0.00937     0.00033    3.58458996
    1221.0     0.00937     0.00033    3.58341002
    1222.0     0.00937     0.00032    3.59773993
    1223.0     0.00937     0.00032    3.60244012
    1224.0     0.00937     0.00032    3.60996008
    1225.0     0.00937     0.00032    3.61490989
    1226.0     0.00937     0.00033    3.60959005
    1227.0     0.00937     0.00033    3.62643003
    1228.0     0.00937     0.00034    3.62107992
