The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  773.07        675.04        173.55        132.34
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     912.0  0.0010287390  0.0010276400  0.0000051512  0.0000078713
     913.0  0.0010463650  0.0010452440  0.0000052854  0.0000080061
     914.0  0.0010612790  0.0010601390  0.0000053993  0.0000081202
     915.0  0.0010717140  0.0010705600  0.0000054790  0.0000082001
     916.0  0.0010765920  0.0010754310  0.0000055155  0.0000082374
     917.0  0.0010760090  0.0010748460  0.0000055090  0.0000082329
     918.0  0.0010705320  0.0010693740  0.0000054639  0.0000081910
     919.0  0.0010618310  0.0010606810  0.0000053932  0.0000081245
     920.0  0.0010519020  0.0010507620  0.0000053135  0.0000080485
     921.0  0.0010434440  0.0010423120  0.0000052453  0.0000079838
     922.0  0.0010387530  0.0010376240  0.0000052075  0.0000079479
     923.0  0.0010397100  0.0010385790  0.0000052142  0.0000079552
     924.0  0.0010469870  0.0010458450  0.0000052707  0.0000080109
     925.0  0.0010599820  0.0010588220  0.0000053719  0.0000081103
     926.0  0.0010772620  0.0010760800  0.0000055065  0.0000082425
     927.0  0.0010965720  0.0010953660  0.0000056572  0.0000083903
     928.0  0.0011159290  0.0011146980  0.0000058085  0.0000085384
     929.0  0.0011336510  0.0011323960  0.0000059476  0.0000086740
     930.0  0.0011486690  0.0011473950  0.0000060660  0.0000087889
     931.0  0.0011607570  0.0011594651  0.0000061613  0.0000088814
     932.0  0.0011698080  0.0011685040  0.0000062323  0.0000089506
     933.0  0.0011762760  0.0011749620  0.0000062815  0.0000090001
     934.0  0.0011804120  0.0011790911  0.0000063104  0.0000090318
     935.0  0.0011826120  0.0011812870  0.0000063214  0.0000090486
     936.0  0.0011830940  0.0011817660  0.0000063163  0.0000090523
     937.0  0.0011822000  0.0011808710  0.0000062981  0.0000090455
     938.0  0.0011799959  0.0011786680  0.0000062677  0.0000090286
     939.0  0.0011768390  0.0011755120  0.0000062289  0.0000090044
     940.0  0.0011725470  0.0011712241  0.0000061811  0.0000089716
     941.0  0.0011672060  0.0011658880  0.0000061264  0.0000089307
     942.0  0.0011604520  0.0011591400  0.0000060625  0.0000088791
     943.0  0.0011522440  0.0011509400  0.0000059902  0.0000088162
     944.0  0.0011427880  0.0011414930  0.0000059117  0.0000087439
     945.0  0.0011329500  0.0011316650  0.0000058335  0.0000086686
     946.0  0.0011241400  0.0011228640  0.0000057666  0.0000086012
     947.0  0.0011179351  0.0011166640  0.0000057212  0.0000085538
     948.0  0.0011156490  0.0011143790  0.0000057064  0.0000085363
     949.0  0.0011174070  0.0011161320  0.0000057208  0.0000085497
     950.0  0.0011228590  0.0011215759  0.0000057607  0.0000085914
     951.0  0.0011304340  0.0011291400  0.0000058140  0.0000086494
     952.0  0.0011394520  0.0011381450  0.0000058765  0.0000087184
     953.0  0.0011491870  0.0011478660  0.0000059451  0.0000087929
     954.0  0.0011601400  0.0011588041  0.0000060265  0.0000088767
     955.0  0.0011728090  0.0011714550  0.0000061267  0.0000089736
     956.0  0.0011874420  0.0011860681  0.0000062483  0.0000090856
     957.0  0.0012037490  0.0012023530  0.0000063883  0.0000092103
     958.0  0.0012205620  0.0012191430  0.0000065355  0.0000093390
     959.0  0.0012366060  0.0012351640  0.0000066772  0.0000094617
     960.0  0.0012503660  0.0012489060  0.0000067985  0.0000095670
     961.0  0.0012608770  0.0012594010  0.0000068894  0.0000096475
     962.0  0.0012673620  0.0012658749  0.0000069416  0.0000096971
     963.0  0.0012697460  0.0012682530  0.0000069537  0.0000097153
     964.0  0.0012682200  0.0012667280  0.0000069275  0.0000097036
     965.0  0.0012632970  0.0012618090  0.0000068684  0.0000096660
     966.0  0.0012557000  0.0012542190  0.0000067836  0.0000096078
     967.0  0.0012458200  0.0012443500  0.0000066788  0.0000095322
     968.0  0.0012342239  0.0012327670  0.0000065593  0.0000094435
     969.0  0.0012212400  0.0012197969  0.0000064297  0.0000093442
     970.0  0.0012075820  0.0012061560  0.0000062968  0.0000092397
     971.0  0.0011944351  0.0011930231  0.0000061716  0.0000091391
     972.0  0.0011833070  0.0011819080  0.0000060679  0.0000090539
     973.0  0.0011760420  0.0011746500  0.0000060013  0.0000089984
     974.0  0.0011742570  0.0011728650  0.0000059852  0.0000089847
     975.0  0.0011788100  0.0011774100  0.0000060253  0.0000090195
     976.0  0.0011899550  0.0011885380  0.0000061223  0.0000091048
     977.0  0.0012064620  0.0012050200  0.0000062643  0.0000092311
     978.0  0.0012267930  0.0012253220  0.0000064376  0.0000093867
     979.0  0.0012484880  0.0012469870  0.0000066213  0.0000095527
     980.0  0.0012696401  0.0012681080  0.0000067996  0.0000097145
     981.0  0.0012885230  0.0012869640  0.0000069587  0.0000098590
     982.0  0.0013044680  0.0013028861  0.0000070931  0.0000099810
     983.0  0.0013172870  0.0013156850  0.0000072020  0.0000100791
     984.0  0.0013272780  0.0013256600  0.0000072872  0.0000101555
     985.0  0.0013348970  0.0013332660  0.0000073525  0.0000102138
     986.0  0.0013402750  0.0013386341  0.0000073977  0.0000102550
     987.0  0.0013436800  0.0013420320  0.0000074244  0.0000102810
     988.0  0.0013449450  0.0013432920  0.0000074302  0.0000102907
     989.0  0.0013440599  0.0013424050  0.0000074150  0.0000102839
     990.0  0.0013409890  0.0013393350  0.0000073783  0.0000102604
     991.0  0.0013354870  0.0013338360  0.0000073184  0.0000102183
     992.0  0.0013275479  0.0013259050  0.0000072356  0.0000101576
     993.0  0.0013167560  0.0013151240  0.0000071261  0.0000100750
     994.0  0.0013030140  0.0013013980  0.0000069898  0.0000099699
     995.0  0.0012861890  0.0012845920  0.0000068248  0.0000098411
     996.0  0.0012665930  0.0012650189  0.0000066351  0.0000096912
     997.0  0.0012448120  0.0012432639  0.0000064261  0.0000095245
     998.0  0.0012218440  0.0012203240  0.0000062080  0.0000093488
     999.0  0.0011985830  0.0011970910  0.0000059903  0.0000091708
    1000.0  0.0011757880  0.0011743230  0.0000057811  0.0000089964
    1001.0  0.0011537130  0.0011522740  0.0000055842  0.0000088275
    1002.0  0.0011318510  0.0011304379  0.0000053972  0.0000086602
    1003.0  0.0011097160  0.0011083280  0.0000052166  0.0000084908
    1004.0  0.0010858820  0.0010845220  0.0000050325  0.0000083085
    1005.0  0.0010598620  0.0010585330  0.0000048404  0.0000081094
    1006.0  0.0010306000  0.0010293060  0.0000046326  0.0000078855
    1007.0  0.0009983692  0.0009971149  0.0000044095  0.0000076389
    1008.0  0.0009635139  0.0009623030  0.0000041724  0.0000073722
    1009.0  0.0009272130  0.0009260472  0.0000039280  0.0000070945
    1010.0  0.0008908193  0.0008896989  0.0000036844  0.0000068160
    1011.0  0.0008555282  0.0008544520  0.0000034494  0.0000065460
    1012.0  0.0008222962  0.0008212617  0.0000032292  0.0000062917
    1013.0  0.0007915402  0.0007905438  0.0000030264  0.0000060564
    1014.0  0.0007635443  0.0007625826  0.0000028423  0.0000058422
    1015.0  0.0007382620  0.0007373312  0.0000026766  0.0000056487
    1016.0  0.0007160102  0.0007151064  0.0000025301  0.0000054785
    1017.0  0.0006966523  0.0006957715  0.0000024029  0.0000053303
    1018.0  0.0006803598  0.0006794982  0.0000022958  0.0000052057
    1019.0  0.0006667480  0.0006659017  0.0000022082  0.0000051015
    1020.0  0.0006551132  0.0006542797  0.0000021366  0.0000050125
    1021.0  0.0006447898  0.0006439677  0.0000020779  0.0000049335
    1022.0  0.0006344399  0.0006336295  0.0000020246  0.0000048543
    1023.0  0.0006235354  0.0006227373  0.0000019727  0.0000047709
    1024.0  0.0006112694  0.0006104865  0.0000019162  0.0000046771
    1025.0  0.0005979246  0.0005971585  0.0000018543  0.0000045749
    1026.0  0.0005840822  0.0005833339  0.0000017878  0.0000044690
    1027.0  0.0005709367  0.0005702052  0.0000017211  0.0000043685
    1028.0  0.0005597776  0.0005590608  0.0000016605  0.0000042831
    1029.0  0.0005512035  0.0005504971  0.0000016096  0.0000042175
    1030.0  0.0005453362  0.0005446367  0.0000015707  0.0000041726
    1031.0  0.0005407027  0.0005400077  0.0000015394  0.0000041371
    1032.0  0.0005360011  0.0005353105  0.0000015108  0.0000041011
    1033.0  0.0005292949  0.0005286111  0.0000014785  0.0000040498
