           z(km)    p(mb)    T(K)
       1   0.320   977.78   293.85
       2   0.374   971.44   293.04
       3   0.500   957.25   291.64
       4   0.750   929.53   289.23
       5   1.000   902.42   286.97
       6   1.500   849.97   283.00
       7   2.000   799.92   280.22
       8   2.500   752.70   279.01
       9   3.000   707.86   278.00
      10   3.500   665.54   275.60
      11   4.000   625.55   272.58
      12   4.500   587.46   269.47
      13   5.000   551.23   266.25
      14   5.500   516.59   262.88
      15   6.000   484.02   259.34
      16   6.500   452.81   255.63
      17   7.000   423.54   251.93
      18   7.500   395.52   248.13
      19   8.000   369.11   244.16
      20   8.500   343.96   240.05
      21   9.000   320.17   235.84
      22   9.500   297.88   231.59
      23  10.000   276.41   227.42
      24  11.000   237.24   219.90
      25  12.000   202.68   215.14
      26  13.000   173.12   213.28
      27  14.000   147.22   211.97
      28  15.000   125.55   210.19
      29  16.500    98.07   207.62
      30  18.000    76.60   208.16
      31  19.500    60.23   209.18
      32  21.000    47.29   217.60
      33  22.500    37.45   219.10
      34  24.000    29.72   220.60
      35  25.500    23.61   222.09
      36  27.000    18.80   223.52
      37  28.500    15.02   224.94
      38  30.000    11.97   226.50
      39  32.000     8.66   229.12
      40  34.000     6.53   233.74
      41  36.000     5.05   239.00
      42  38.000     3.86   244.37
      43  40.000     2.87   250.40
      44  42.000     2.20   255.94
      45  44.000     1.69   261.47
      46  46.000     1.31   267.14
      47  48.000     1.02   271.05
      48  50.000     0.80   270.70
      49  52.000     0.62   267.94
      50  54.000     0.48   263.46
      51  56.000     0.37   258.22
      52  58.000     0.29   252.73
      53  60.000     0.22   247.00
      54  64.000     0.13   236.04
      55  68.000     0.07   224.92
