shape,"size (um)",color,"polymer types"
fiber,82.372,orange,PET
fiber,206.754,orange,PET
fiber,280.675,blue,PET
N/A,N/A,N/A,N/A
fragment,185.246,black,PE-PP
fragment,21.417,blue,PVC
fiber,312.603,black,PET
fiber,116.635,black,PET
fiber,183.471,blue,PET
fragment,137.257,black,PE-PP
fragment,47.641,blue,EP
fragment,231.801,transparent,PET
fiber,84.293,orange,PET
